,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,North-East,South-East,East,South,North,West
2019-08-01,3.4475524475524475,247.48951048951048,1.9027972027972029,17.934265734265736,27.266433566433577,74.48251748251748,27.46643356643356,27.07552447552447,,,,2.7167832167832167,2.0902097902097885,1173.1748251748252,0.0,0,1,0,0,0,0,0,0
2019-08-02,4.024305555555554,251.22222222222223,2.011805555555556,21.546527777777776,28.065972222222236,71.59027777777777,28.309027777777786,27.82777777777777,,,,2.94097222222222,2.227083333333334,1181.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-08-03,3.253472222222223,205.83333333333334,1.6944444444444446,19.052777777777777,27.15347222222222,75.42361111111111,27.41527777777777,26.91249999999998,,,,2.497916666666666,1.870833333333334,1182.75,0.0,0,1,0,0,0,0,0,0
2019-08-04,3.7513888888888878,181.09027777777777,2.029166666666666,17.879861111111108,27.82083333333333,77.23611111111111,28.027083333333326,27.60138888888889,,,,2.845833333333334,2.185416666666667,1181.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-08-05,3.8749999999999982,183.46527777777777,2.0986111111111105,18.66875,28.072916666666668,77.85416666666667,28.28333333333332,27.863194444444442,,,,2.948611111111111,2.260416666666667,1181.763888888889,0.0,0,1,0,0,0,0,0,0
2019-08-06,3.7624999999999997,184.71527777777777,1.9951388888888881,19.017361111111125,27.37152777777777,70.6875,27.612499999999994,27.12708333333335,,,,2.8479166666666664,2.165972222222221,1181.701388888889,0.0,0,1,0,0,0,0,0,0
2019-08-07,3.9950354609929066,202.77304964539007,2.163829787234042,19.16595744680851,26.802127659574463,71.02127659574468,26.993617021276602,26.62198581560283,,,,3.065957446808509,2.3468085106382968,1173.0283687943263,0.0,0,1,0,0,0,0,0,0
2019-08-08,3.49236111111111,205.57638888888889,1.9388888888888884,17.994444444444458,26.595833333333342,76.65972222222223,26.831250000000015,26.381944444444443,,,,2.764583333333334,2.1145833333333317,1182.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-08-09,4.0874999999999995,212.65277777777777,2.1326388888888874,18.6875,27.562500000000004,75.19444444444444,27.81875000000001,27.301388888888876,,,,3.0687500000000005,2.327777777777779,1181.4166666666667,0.0,0,1,0,0,0,0,0,0
2019-08-10,3.8326388888888903,212.61111111111111,1.930555555555556,21.4875,27.483333333333324,72.48611111111111,27.747916666666676,27.236805555555563,,,,2.855555555555554,2.100694444444446,1181.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-08-11,3.683333333333332,216.11805555555554,2.040277777777778,17.10833333333334,27.20833333333334,76.75,27.415972222222234,26.9888888888889,,,,2.8486111111111128,2.2041666666666657,1164.6527777777778,0.0,0,1,0,0,0,0,0,0
2019-08-12,3.3555555555555547,186.72222222222223,1.8437500000000004,17.43888888888889,26.91597222222223,78.96527777777777,27.13055555555556,26.697916666666664,,,,2.62986111111111,2.0118055555555556,1181.0625,0.0,0,1,0,0,0,0,0,0
2019-08-13,3.043055555555556,192.04166666666666,1.6909722222222219,17.331250000000004,26.958333333333336,82.44444444444444,27.179166666666674,26.734027777777776,,,,2.410416666666668,1.8479166666666655,1165.6666666666667,0.0,0,1,0,0,0,0,0,0
2019-08-14,3.3493055555555546,200.38888888888889,1.786111111111111,19.097222222222232,26.960416666666674,79.65972222222223,27.147222222222226,26.763888888888886,,,,2.6208333333333322,1.9590277777777771,1183.2777777777778,0.0,0,1,0,0,0,0,0,0
2019-08-15,3.475735294117648,191.30882352941177,1.910294117647059,20.806617647058818,26.505882352941182,70.34558823529412,26.73088235294117,26.313970588235307,,,,2.7147058823529417,2.0970588235294114,1182.9117647058824,0.0,0,1,0,0,0,0,0,0
2019-08-16,3.418055555555556,217.5625,2.039583333333334,16.978472222222234,26.82986111111112,62.576388888888886,27.059027777777786,26.620833333333323,,,,2.760416666666666,2.2062500000000016,1183.111111111111,0.0,0,1,0,0,0,0,0,0
2019-08-17,3.528472222222222,218.5625,1.9250000000000003,17.58125,27.063888888888897,76.38888888888889,27.269444444444446,26.85763888888889,,,,2.7333333333333334,2.109722222222223,1181.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-08-18,3.66595744680851,201.87943262411346,1.8843971631205676,20.67517730496453,27.54609929078014,72.72340425531915,27.786524822695043,27.315602836879446,,,,2.7460992907801427,2.0659574468085107,1191.276595744681,0.0,0,1,0,0,0,0,0,0
2019-08-19,4.147916666666669,183.07638888888889,2.241666666666667,17.19236111111111,26.7375,68.18055555555556,26.94166666666666,26.52569444444444,,,,3.158333333333333,2.409027777777777,1182.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-08-20,3.9340277777777786,199.54166666666666,2.165972222222223,19.365277777777766,26.93958333333334,72.14583333333333,27.174305555555545,26.690277777777776,,,,3.022222222222222,2.345833333333333,1165.8402777777778,0.0,0,1,0,0,0,0,0,0
2019-08-21,3.2861111111111097,202.06944444444446,1.8000000000000007,17.86944444444444,26.41736111111112,75.0625,26.5986111111111,26.248611111111114,,,,2.581249999999999,1.9618055555555567,1182.298611111111,0.0,0,1,0,0,0,0,0,0
2019-08-22,3.627777777777777,224.67361111111111,2.1611111111111114,14.943055555555556,26.404861111111117,78.15277777777777,26.574999999999996,26.229861111111106,,,,2.859027777777778,2.3187500000000005,1165.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-08-23,4.161805555555556,262.43055555555554,2.4819444444444456,13.999999999999996,27.33402777777779,78.19444444444444,27.497916666666654,27.17638888888889,,,,3.221527777777779,2.6381944444444443,1180.9027777777778,0.0,0,1,0,0,0,0,0,0
