,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,7.87222222222222,199.375,5.11944444444444,11.733333333333336,12.416666666666663,58.11805555555556,12.55208333333333,12.27152777777778,182.86805555555554,,,6.3527777777777805,5.413888888888888,1182.048611111111,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-02-16,6.883333333333334,220.33333333333334,4.874305555555559,9.691666666666661,12.455555555555545,77.5625,12.626388888888888,12.2875,193.25694444444446,,,5.834722222222222,5.179861111111112,1182.638888888889,0.002777777777777778,0,0,1,0,0,0,0,0
2019-02-17,4.421527777777776,177.36805555555554,3.038888888888888,9.42361111111111,12.361805555555554,68.59722222222223,12.53263888888889,12.204861111111112,202.74305555555554,,,3.699305555555556,3.2368055555555566,1181.951388888889,0.0,1,0,0,0,0,0,0,0
2019-02-18,4.683333333333331,194.55555555555554,3.2284722222222233,10.721527777777773,10.533333333333331,83.13194444444444,10.702777777777772,10.372916666666663,136.09027777777777,,,4.026388888888887,3.4944444444444427,1165.9027777777778,0.010416666666666666,0,0,1,0,0,0,0,0
2019-02-19,4.779166666666662,192.23611111111111,3.2999999999999985,10.79583333333333,11.822222222222228,85.75,11.963194444444445,11.692361111111119,145.4125874125874,,,4.012499999999999,3.5111111111111093,1165.9444444444443,0.0,0,0,1,0,0,0,0,0
2019-02-20,3.5999999999999996,203.74305555555554,2.3659722222222217,16.350694444444443,12.904166666666665,81.25,13.085416666666667,12.750694444444445,166.25694444444446,,,3.0388888888888874,2.5993055555555555,1165.3333333333333,0.0,0,0,1,0,0,0,0,0
2019-02-21,3.077083333333334,212.43055555555554,2.0902777777777786,12.963888888888889,12.562499999999998,76.78472222222223,12.722222222222223,12.413888888888884,188.07638888888889,,,2.6680555555555556,2.26875,1166.3541666666667,0.0,0,0,1,0,0,0,0,0
2019-02-22,3.071527777777778,190.86111111111111,2.0055555555555555,14.863888888888887,11.77708333333333,79.94444444444444,11.965972222222216,11.61527777777778,148.99305555555554,,,2.6472222222222213,2.229861111111111,1180.8472222222222,0.0,0,0,1,0,0,0,0,0
2019-02-23,3.0833333333333326,177.23611111111111,1.9868055555555546,17.39375000000002,12.421527777777785,80.05555555555556,12.63125,12.234722222222217,210.20833333333334,,,2.610416666666667,2.2083333333333326,1167.4097222222222,0.0,1,0,0,0,0,0,0,0
2019-02-24,2.747916666666667,169.13194444444446,1.9437500000000003,12.555555555555545,12.95208333333333,77.29166666666667,13.139583333333327,12.75486111111111,208.50694444444446,,,2.408333333333333,2.104166666666666,1166.1597222222222,0.0,1,0,0,0,0,0,0,0
2019-02-25,3.3291666666666675,99.73611111111111,2.3222222222222215,10.260416666666673,18.19444444444445,47.208333333333336,18.43541666666667,17.94166666666667,212.97222222222223,,,2.8361111111111104,2.470833333333333,1166.5069444444443,0.0,1,0,0,0,0,0,0,0
2019-02-26,5.980555555555555,214.47916666666666,4.002083333333335,13.010416666666663,15.775694444444449,52.145833333333336,15.984722222222237,15.577083333333329,199.86805555555554,,,4.893750000000002,4.275,1181.8333333333333,0.0,0,0,1,0,0,0,0,0
2019-02-27,9.177083333333337,237.63888888888889,6.330555555555556,9.179166666666669,13.863194444444446,87.09027777777777,14.034027777777775,13.707638888888887,130.4125874125874,,,7.60208333333333,6.71527777777778,1166.3541666666667,0.07847222222222222,0,0,1,0,0,0,0,0
2019-02-28,12.159027777777775,258.7708333333333,8.088194444444445,9.924999999999999,11.815972222222221,83.83333333333333,12.047916666666662,11.602083333333333,63.28472222222222,,,10.093750000000002,8.73125,1165.5555555555557,0.4270833333333335,0,0,1,0,0,0,0,0
2019-03-01,5.61527777777778,242.84722222222223,3.795138888888888,13.815972222222209,12.22291666666667,82.41666666666667,12.362500000000004,12.075000000000006,142.08333333333334,,,4.752777777777776,4.179861111111112,1182.375,0.04027777777777777,0,0,1,0,0,0,0,0
2019-03-02,4.081250000000001,193.79166666666666,2.661111111111112,12.783333333333335,12.19027777777778,87.38194444444444,12.28958333333333,12.089583333333332,82.04861111111111,,,3.3388888888888903,2.868055555555556,1183.9166666666667,0.06597222222222221,0,0,1,0,0,0,0,0
2019-03-03,5.375694444444444,191.74305555555554,3.7652777777777766,9.804166666666665,13.786111111111117,63.958333333333336,13.954861111111107,13.594444444444441,225.56944444444446,,,4.54375,4.0159722222222225,1166.625,0.0,0,0,1,0,0,0,0,0
2019-03-04,4.800694444444442,204.39583333333334,3.1833333333333345,13.929166666666672,13.747916666666661,81.25694444444444,13.92777777777778,13.575694444444444,209.81944444444446,,,4.006249999999999,3.429166666666667,1182.2291666666667,0.0,0,0,1,0,0,0,0,0
2019-03-05,3.613194444444445,159.83333333333334,2.435416666666668,13.406944444444438,12.72361111111111,85.3125,12.931944444444445,12.539583333333333,201.32638888888889,,,3.122222222222221,2.6972222222222233,1181.4652777777778,0.0,1,0,0,0,0,0,0,0
2019-03-06,3.22638888888889,208.53472222222223,2.041666666666666,15.342361111111112,13.885416666666664,82.3125,14.077083333333327,13.70347222222222,239.38194444444446,,,2.708333333333333,2.2479166666666663,1182.1666666666667,0.0,0,0,1,0,0,0,0,0
2019-03-07,4.230555555555558,239.84722222222223,2.8666666666666663,11.141666666666662,13.990277777777777,82.63194444444444,14.171527777777776,13.811111111111112,226.97222222222223,,,3.5854166666666663,3.081944444444444,1165.5416666666667,0.0,0,0,1,0,0,0,0,0
2019-03-08,3.7937499999999997,237.79166666666666,2.3826388888888896,16.52291666666666,14.821527777777776,76.39583333333333,15.034027777777778,14.594444444444441,252.47222222222223,,,3.250694444444443,2.6534722222222227,1181.763888888889,0.0,0,0,1,0,0,0,0,0
2019-03-09,3.2527777777777773,195.06944444444446,2.134027777777778,11.617361111111107,13.111805555555556,72.83333333333333,13.297222222222228,12.95138888888889,265.75694444444446,,,2.7527777777777764,2.324305555555557,1182.451388888889,0.0,0,0,1,0,0,0,0,0
2019-03-10,3.023611111111113,232.25694444444446,1.9854166666666657,14.438888888888881,13.85069444444444,79.07638888888889,14.05763888888889,13.63333333333334,251.45833333333334,,,2.614583333333334,2.211805555555555,1165.423611111111,0.0,0,0,1,0,0,0,0,0
2019-03-11,3.061805555555556,206.70833333333334,1.8958333333333333,17.86597222222222,14.602777777777776,77.92361111111111,14.823611111111108,14.374305555555562,234.18055555555554,,,2.5666666666666678,2.1145833333333335,1164.0416666666667,0.0,0,0,1,0,0,0,0,0
2019-03-12,2.7673611111111125,181.58333333333334,1.842361111111111,14.292361111111104,14.659722222222225,84.70138888888889,14.852777777777776,14.47013888888889,208.70138888888889,,,2.376388888888889,2.0277777777777777,1165.8125,0.0,1,0,0,0,0,0,0,0
2019-03-13,5.820833333333333,230.21527777777777,3.9173611111111106,12.848611111111108,17.336805555555557,67.6875,17.551388888888894,17.13333333333334,215.16666666666666,,,4.952083333333332,4.269444444444443,1181.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-03-14,8.312500000000007,229.93055555555554,5.704166666666666,9.41944444444445,13.796527777777774,86.75,13.968055555555557,13.64027777777777,94.04861111111111,,,6.953472222222222,6.11736111111111,1182.1666666666667,0.0847222222222222,0,0,1,0,0,0,0,0
2019-03-15,4.4312499999999995,202.3125,2.8180555555555546,15.072916666666664,15.86944444444444,76.90277777777777,16.055555555555557,15.693750000000007,203.53472222222223,,,3.634722222222222,3.0486111111111107,1181.9930555555557,0.0,0,0,1,0,0,0,0,0
2019-03-16,8.861111111111112,235.48611111111111,6.17638888888889,9.001388888888881,14.057638888888892,82.49305555555556,14.28472222222222,13.811805555555562,150.84722222222223,,,7.425694444444442,6.5756944444444425,1165.6805555555557,0.030555555555555565,0,0,1,0,0,0,0,0
