,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,East,West,South,North-East
2019-04-01,5.5263888888888895,206.84027777777777,3.419444444444446,11.865277777777772,13.139583333333333,84.07638888888889,13.273611111111112,13.014583333333338,,,,4.345833333333335,3.6583333333333345,1182.6041666666667,0.0611111111111111,0,0,1,0,0,0,0,0
2019-04-02,4.029166666666666,223.34722222222223,2.6694444444444443,11.254166666666665,14.109027777777776,76.81944444444444,14.296527777777783,13.92569444444445,,,,3.374305555555555,2.8520833333333337,1182.3472222222222,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.1243055555555532,192.375,2.120833333333333,13.967361111111105,14.247222222222218,72.60416666666667,14.442361111111106,14.054861111111096,,,,2.689583333333333,2.3055555555555554,1181.0555555555557,0.0,0,0,1,0,0,0,0,0
2019-04-04,3.250694444444443,245.84722222222223,2.2590277777777796,11.561111111111112,14.602777777777773,81.75,14.808333333333334,14.381249999999994,,,,2.856250000000001,2.463194444444446,1166.1875,0.0,0,0,1,0,0,0,0,0
2019-04-05,3.3291666666666657,210.90277777777777,2.252777777777777,11.431250000000004,14.653472222222227,83.29861111111111,14.863888888888892,14.45902777777778,,,,2.8819444444444446,2.427777777777777,1166.451388888889,0.0,0,0,1,0,0,0,0,0
2019-04-06,2.3708333333333336,142.35416666666666,1.51875,14.607638888888886,16.305555555555546,77.27083333333333,16.486111111111107,16.130555555555553,,,,2.0479166666666675,1.7354166666666673,1182.125,0.0,1,0,0,0,0,0,0,0
2019-04-07,3.8909722222222234,188.21527777777777,2.5694444444444446,10.721527777777776,20.447222222222226,61.24305555555556,20.659027777777784,20.2423611111111,,,,3.2673611111111116,2.794444444444443,1181.7569444444443,0.0,0,0,1,0,0,0,0,0
2019-04-08,2.906944444444443,207.20138888888889,1.8041666666666663,14.895138888888892,17.993055555555557,78.27777777777777,18.195833333333333,17.78750000000001,,,,2.4423611111111097,2.006250000000001,1165.7847222222222,0.0,0,0,1,0,0,0,0,0
2019-04-09,3.831249999999998,228.80555555555554,2.257638888888889,15.57291666666666,17.865277777777766,75.59027777777777,18.051388888888887,17.688194444444438,,,,3.0784722222222225,2.466666666666667,1182.2777777777778,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.4243055555555557,224.61111111111111,2.198611111111111,11.903472222222227,15.439583333333339,76.24305555555556,15.67916666666667,15.217361111111112,,,,2.8895833333333316,2.375,1182.8958333333333,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.25347222222222,200.22222222222223,2.895833333333334,11.852777777777778,14.698611111111111,73.91666666666667,14.89930555555555,14.491666666666667,,,,3.6486111111111117,3.0965277777777778,1165.263888888889,0.0,0,0,1,0,0,0,0,0
2019-04-12,3.938888888888891,203.96527777777777,2.725000000000001,10.366666666666667,15.834027777777777,77.14583333333333,16.038194444444446,15.627083333333344,,,,3.384722222222222,2.9069444444444454,1182.0833333333333,0.0,0,0,1,0,0,0,0,0
2019-04-13,3.0951388888888878,195.72222222222223,2.102083333333334,14.556944444444444,19.309722222222224,70.92361111111111,19.56944444444444,19.032638888888883,,,,2.673611111111111,2.2736111111111112,1182.5208333333333,0.0,0,0,1,0,0,0,0,0
2019-04-14,5.742361111111113,210.76388888888889,3.4090277777777778,13.510416666666664,19.36250000000001,61.65972222222222,19.568749999999994,19.15694444444444,,,,4.366666666666666,3.633333333333333,1164.3819444444443,0.0,0,0,1,0,0,0,0,0
2019-04-15,3.160416666666667,188.18055555555554,2.0243055555555554,14.121527777777775,15.925694444444446,83.95833333333333,16.07152777777778,15.781249999999991,,,,2.6840277777777777,2.265972222222224,1165.486111111111,0.008333333333333333,0,0,1,0,0,0,0,0
2019-04-16,3.129861111111112,181.65277777777777,1.93888888888889,14.26736111111111,16.29097222222222,81.10416666666667,16.464583333333334,16.12569444444445,,,,2.6118055555555535,2.1326388888888896,1165.9652777777778,0.01041666666666667,0,0,1,0,0,0,0,0
2019-04-17,4.697222222222221,230.03472222222223,2.936805555555555,11.74861111111111,15.771527777777761,76.18055555555556,15.966666666666661,15.574305555555554,,,,3.7659722222222225,3.1423611111111125,1166.3333333333333,0.0,0,0,1,0,0,0,0,0
2019-04-18,4.343750000000001,216.67361111111111,2.6527777777777777,13.515972222222231,15.102083333333333,71.625,15.35277777777778,14.861805555555557,,,,3.5027777777777755,2.8638888888888907,1164.673611111111,0.0,0,0,1,0,0,0,0,0
2019-04-19,5.892361111111111,230.43055555555554,3.452083333333331,14.024305555555564,15.191666666666672,68.09722222222223,15.398611111111112,14.999999999999996,,,,4.463888888888888,3.6486111111111104,1165.888888888889,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-04-20,5.479861111111111,219.04861111111111,3.2756944444444436,12.716666666666667,14.648611111111121,73.64583333333333,14.881250000000003,14.440277777777778,,,,4.256249999999999,3.495138888888888,1181.236111111111,0.0,0,0,1,0,0,0,0,0
2019-04-21,8.350000000000001,265.2638888888889,4.899305555555557,13.53194444444444,14.23402777777778,59.28472222222222,14.487499999999992,13.993750000000002,,,,6.400000000000001,5.253472222222222,1182.138888888889,0.010416666666666666,0,0,1,0,0,0,0,0
2019-04-22,5.100694444444446,219.89583333333334,3.0881944444444454,12.362499999999999,13.568055555555556,66.34027777777777,13.863194444444444,13.292361111111104,,,,4.061805555555556,3.309722222222222,1165.986111111111,0.0,0,0,1,0,0,0,0,0
2019-04-23,4.413194444444445,187.70833333333334,3.056944444444445,14.431944444444449,14.440277777777773,67.84722222222223,14.652777777777775,14.220138888888894,,,,3.7576388888888883,3.25625,1181.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-04-24,3.9326388888888877,175.50694444444446,2.636111111111111,12.13888888888888,17.02708333333334,58.125,17.27013888888888,16.77083333333333,,,,3.3729166666666663,2.844444444444444,1165.798611111111,0.0,1,0,0,0,0,0,0,0
2019-04-25,3.8979166666666663,221.65972222222223,2.718055555555557,11.273611111111116,18.923611111111114,53.638888888888886,19.17430555555556,18.677777777777763,,,,3.3854166666666665,2.93125,1182.3541666666667,0.0,0,0,1,0,0,0,0,0
2019-04-26,3.8402777777777777,169.33333333333334,2.5902777777777755,14.210416666666667,20.24513888888889,54.611111111111114,20.53402777777778,19.972222222222218,,,,3.3090277777777777,2.8027777777777776,1182.5069444444443,0.0,1,0,0,0,0,0,0,0
2019-04-27,3.879166666666668,236.43055555555554,2.6715277777777775,12.909027777777784,19.636111111111106,63.8125,19.883333333333336,19.404166666666676,,,,3.3465277777777778,2.8618055555555557,1182.048611111111,0.0,0,0,1,0,0,0,0,0
2019-04-28,3.579166666666669,224.41666666666666,2.499305555555557,11.43194444444444,19.150000000000002,69.6875,19.386111111111106,18.922222222222224,,,,3.1104166666666675,2.688194444444443,1182.4375,0.0,0,0,1,0,0,0,0,0
2019-04-29,3.0534722222222213,201.875,1.9159722222222213,18.141666666666666,22.92638888888888,39.75,23.19722222222222,22.64999999999999,,,,2.6055555555555565,2.158333333333333,1166.701388888889,0.0,0,0,1,0,0,0,0,0
2019-04-30,3.284722222222223,215.02777777777777,2.1729166666666657,13.027083333333339,20.694444444444443,60.77777777777778,20.95069444444445,20.423611111111114,,,,2.802083333333335,2.3854166666666674,1166.0902777777778,0.0,0,0,1,0,0,0,0,0
2019-05-01,3.2895104895104894,181.27272727272728,2.206293706293706,12.890209790209784,24.097902097902097,46.96503496503497,24.37202797202798,23.818881118881112,,,,2.868531468531469,2.4510489510489517,1162.3916083916083,0.0,0,0,1,0,0,0,0,0
2019-05-02,4.173611111111111,199.90972222222223,2.622222222222222,18.45694444444444,23.451388888888893,55.0625,23.722916666666674,23.18333333333334,,,,3.5583333333333322,2.9791666666666665,1166.2569444444443,0.0,0,0,1,0,0,0,0,0
2019-05-03,4.288194444444446,253.8125,2.8930555555555557,13.810416666666663,19.155555555555555,73.00694444444444,19.404861111111124,18.909722222222225,,,,3.6895833333333337,3.1138888888888894,1164.7430555555557,0.0,0,0,1,0,0,0,0,0
2019-05-04,4.5458333333333325,220.39583333333334,3.0791666666666666,15.690277777777778,17.783333333333342,70.38194444444444,18.040277777777774,17.543750000000003,,,,3.841666666666667,3.286111111111111,1165.611111111111,0.0,0,0,1,0,0,0,0,0
2019-05-05,3.104861111111111,207.9375,2.0638888888888887,15.696527777777776,20.354861111111106,64.01388888888889,20.652083333333337,20.051388888888894,,,,2.711111111111111,2.279166666666668,1165.3333333333333,0.0,0,0,1,0,0,0,0,0
2019-05-06,4.686805555555557,191.40277777777777,2.6861111111111113,19.636805555555565,24.286805555555567,53.5,24.599305555555546,23.960416666666653,,,,3.7583333333333346,2.9840277777777775,1182.5069444444443,0.0,0,0,1,0,0,0,0,0
2019-05-07,4.774999999999998,279.55555555555554,2.8618055555555557,14.846527777777782,19.645833333333343,66.51388888888889,19.863194444444446,19.435416666666665,,,,3.8625000000000025,3.0881944444444454,1181.7569444444443,0.0,0,1,0,0,0,0,0,0
