,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,West,North,South,East
2019-04-01,5.1090277777777775,228.41666666666666,2.250000000000001,25.434027777777796,7.41736111111111,100.0,7.538194444444445,7.313194444444439,,,,3.26111111111111,2.4687499999999996,1181.0347222222222,0.1763888888888889,0,0,0,1,0,0,0,0
2019-04-02,3.230555555555556,209.39583333333334,1.3770833333333332,22.717361111111128,8.42986111111111,95.40277777777777,8.56458333333334,8.305555555555562,,,,2.168055555555556,1.531944444444444,1181.388888888889,0.036111111111111115,0,0,0,1,0,0,0,0
2019-04-03,2.892361111111112,158.88888888888889,1.5326388888888887,19.714583333333323,10.592361111111108,75.875,10.789583333333331,10.399305555555555,,,,2.1326388888888888,1.6402777777777775,1182.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-04-04,3.251388888888888,167.41666666666666,1.659027777777778,21.220833333333328,13.247222222222216,61.291666666666664,13.431250000000004,13.059027777777777,,,,2.33611111111111,1.7979166666666662,1181.3194444444443,0.0,0,1,0,0,0,0,0,0
2019-04-05,3.686111111111112,144.60416666666666,1.9437499999999999,17.409027777777762,10.809027777777779,90.75694444444444,11.019444444444439,10.61875,,,,2.6194444444444454,2.09861111111111,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-04-06,4.28819444444444,140.21527777777777,2.1861111111111104,17.400694444444444,13.054861111111116,62.13194444444444,13.234722222222219,12.872222222222224,,,,2.933333333333334,2.3472222222222223,1181.1666666666667,0.001388888888888889,0,1,0,0,0,0,0,0
2019-04-07,4.477777777777778,176.84027777777777,2.199305555555556,20.418055555555565,17.293055555555558,49.263888888888886,17.50069444444445,17.086805555555557,,,,3.0437499999999984,2.3666666666666654,1182.4652777777778,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.0541666666666663,213.51388888888889,1.5951388888888882,18.619444444444447,16.227777777777774,54.125,16.42222222222222,16.032638888888886,,,,2.1819444444444454,1.7069444444444435,1164.7152777777778,0.0,0,0,0,1,0,0,0,0
2019-04-09,3.7666666666666675,225.26388888888889,1.810416666666666,22.019444444444442,14.295833333333327,69.02777777777777,14.49513888888889,14.103472222222228,,,,2.618055555555555,1.961111111111111,1165.7430555555557,0.0,0,0,0,1,0,0,0,0
2019-04-10,4.504861111111108,274.52777777777777,2.0437500000000015,22.91319444444444,10.804166666666664,89.17361111111111,11.04375,10.578472222222219,,,,2.9597222222222235,2.2006944444444447,1181.888888888889,0.0,0,0,1,0,0,0,0,0
2019-04-11,4.915277777777778,124.73611111111111,2.705555555555555,16.309722222222224,10.495138888888894,87.0625,10.72777777777778,10.279861111111117,,,,3.520138888888888,2.8465277777777773,1181.9583333333333,0.0,0,1,0,0,0,0,0,0
2019-04-12,4.435416666666667,100.92361111111111,2.286805555555555,22.268749999999997,14.41041666666666,60.86805555555556,14.627777777777775,14.170138888888891,,,,3.1590277777777778,2.4652777777777772,1182.4722222222222,0.0,0,1,0,0,0,0,0,0
2019-04-13,7.777083333333333,110.75694444444444,3.954861111111111,20.901388888888896,20.501388888888886,27.006944444444443,20.677777777777766,20.31319444444445,,,,5.242361111111111,4.177777777777775,1182.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-04-14,6.217361111111112,210.34027777777777,2.6625000000000014,28.52083333333334,15.271527777777784,69.31944444444444,15.430555555555564,15.129166666666675,,,,3.799305555555555,2.877777777777779,1181.451388888889,0.0,0,0,0,1,0,0,0,0
2019-04-15,3.40486111111111,145.09722222222223,1.8006944444444437,18.74166666666667,11.041666666666666,89.19444444444444,11.206944444444447,10.89097222222222,,,,2.4895833333333317,1.995138888888889,1182.0347222222222,0.024999999999999998,0,1,0,0,0,0,0,0
2019-04-16,3.8701388888888877,244.86111111111111,1.6312499999999994,26.338194444444444,11.094444444444447,92.88888888888889,11.28402777777778,10.920138888888882,,,,2.428472222222222,1.7833333333333325,1182.6805555555557,0.03680555555555556,0,0,0,1,0,0,0,0
