,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,North-East,South-East,East,South-West,South,North-West,North,West
2019-08-01,,,,,28.976923076923075,66.47552447552448,29.167832167832167,28.776223776223787,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-02,,,,,28.873611111111117,65.76388888888889,29.087500000000002,28.675694444444453,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-03,,,,,28.78680555555557,67.32638888888889,29.022222222222222,28.584722222222233,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-04,,,,,28.840277777777786,71.125,29.01388888888889,28.647916666666692,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-05,,,,,29.17291666666667,70.47916666666667,29.34791666666667,28.998611111111106,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-06,,,,,28.63958333333333,62.416666666666664,28.861805555555563,28.418055555555558,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-07,,,,,28.189361702127666,62.6241134751773,28.389361702127662,27.986524822695042,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-08,,,,,28.449999999999996,66.85416666666667,28.668055555555547,28.244444444444433,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-09,,,,,28.868055555555557,67.05555555555556,29.084722222222226,28.661805555555546,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-10,,,,,28.74652777777779,65.36111111111111,28.979166666666668,28.529166666666672,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-11,,,,,28.99444444444443,67.94444444444444,29.184027777777764,28.805555555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-12,,,,,29.254861111111122,68.21527777777777,29.443749999999998,29.061805555555566,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-13,,,,,29.088194444444444,71.88194444444444,29.285416666666656,28.89444444444443,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-14,,,,,29.328472222222224,66.79166666666667,29.518055555555545,29.143749999999994,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-15,,,,,28.3875,66.63235294117646,28.61985294117648,28.1639705882353,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-16,,,,,28.215972222222224,60.388888888888886,28.459722222222215,27.98958333333334,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-17,,,,,29.038194444444443,66.82638888888889,29.23958333333334,28.85138888888889,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-18,,,,,28.81489361702127,65.36170212765957,29.032624113475176,28.602836879432612,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-19,,,,,28.01319444444444,60.69444444444444,28.247916666666658,27.797916666666655,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-20,,,,,27.96736111111111,65.28472222222223,28.176388888888894,27.75833333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-21,,,,,29.0625,64.32638888888889,29.245138888888878,28.87847222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-22,,,,,28.565277777777776,68.71527777777777,28.77430555555556,28.34930555555557,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-23,,,,,29.302083333333332,69.78472222222223,29.481944444444473,29.12083333333335,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-24,,,,,30.170138888888882,70.70833333333333,30.34027777777777,29.984722222222235,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-25,,,,,29.411888111888103,70.74125874125875,29.593706293706305,29.21188811188812,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-26,,,,,28.64999999999999,71.44444444444444,28.859027777777776,28.455555555555545,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-27,,,,,28.665277777777785,71.64583333333333,28.84930555555557,28.453472222222224,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-28,,,,,29.51666666666665,70.1875,29.703472222222217,29.32291666666666,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-29,,,,,29.412500000000005,72.00694444444444,29.58888888888889,29.22222222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-30,,,,,29.62777777777778,70.13888888888889,29.822222222222212,29.449999999999996,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-08-31,,,,,29.16388888888889,71.3125,29.373611111111117,28.96597222222223,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-09-01,,,,,26.4,86.0,26.5,26.4,,,,,,,0.0,1,0,0,0,0,0,0,0,0
