,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,West,South-West,East,North-West,North-East,North,South,South-East
2019-04-24,,,,,17.530555555555562,69.70833333333333,17.734027777777783,17.325,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-25,,,,,19.189583333333346,70.69444444444444,19.400694444444454,18.969444444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-26,,,,,21.490972222222222,57.74305555555556,21.684027777777793,21.273611111111112,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-27,,,,,21.50208333333334,55.666666666666664,21.70833333333332,21.322916666666664,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-28,,,,,19.950000000000003,72.22222222222223,20.172916666666662,19.714583333333348,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-29,,,,,21.413888888888888,64.76388888888889,21.661805555555553,21.188888888888894,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-04-30,,,,,21.581944444444442,74.41666666666667,21.78472222222223,21.381944444444446,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-01,,,,,21.61736111111111,73.95833333333333,21.818749999999987,21.39791666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-02,,,,,24.03263888888888,57.416666666666664,24.33402777777778,23.73541666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-03,,,,,20.37222222222222,73.63194444444444,20.57013888888888,20.17847222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-04,,,,,19.649999999999995,71.86111111111111,19.869444444444436,19.443055555555553,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-05,,,,,20.976388888888895,69.08333333333333,21.242361111111123,20.717361111111117,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-06,,,,,26.706944444444435,40.11805555555556,26.963194444444426,26.44583333333333,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-07,,,,,20.47430555555555,66.65972222222223,20.668750000000003,20.283333333333324,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-05-08,,,,,19.47430555555556,64.51388888888889,19.682638888888885,19.25416666666666,,,,,,,0.001388888888888889,1,0,0,0,0,0,0,0,0
2019-05-09,,,,,18.96041666666666,61.94444444444444,19.15972222222222,18.747916666666665,,,,,,,0.0,1,0,0,0,0,0,0,0,0
