,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,7.625000000000002,213.06944444444446,5.001388888888887,10.79236111111111,11.736805555555557,57.99305555555556,11.884722222222225,11.597222222222225,177.49305555555554,,,6.090972222222224,5.223611111111108,1166.076388888889,0.0,0,0,1,0,0,0,0,0
2019-02-16,6.81666666666667,223.11805555555554,4.611111111111111,10.447916666666664,11.738194444444446,76.94444444444444,11.92013888888889,11.559722222222222,195.95138888888889,,,5.60486111111111,4.836805555555557,1182.451388888889,0.0,0,0,1,0,0,0,0,0
2019-02-17,4.470833333333332,183.32638888888889,2.750694444444444,14.15138888888889,11.850694444444448,67.57638888888889,12.080555555555554,11.64027777777779,184.61805555555554,,,3.517361111111111,2.9388888888888878,1181.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-02-18,4.142361111111111,202.46527777777777,2.617361111111111,13.346527777777785,9.800000000000004,85.20138888888889,10.009027777777773,9.582638888888887,162.78472222222223,,,3.372222222222223,2.8458333333333328,1181.6458333333333,0.006944444444444444,0,0,1,0,0,0,0,0
2019-02-19,4.171527777777777,191.09722222222223,2.595138888888888,14.516666666666667,11.279166666666669,89.28472222222223,11.45,11.10625,156.67361111111111,,,3.320138888888889,2.779166666666666,1164.8055555555557,0.01666666666666667,0,0,1,0,0,0,0,0
2019-02-20,3.186805555555555,188.90277777777777,1.8534722222222204,18.47222222222222,12.302083333333332,85.63888888888889,12.45416666666666,12.137499999999994,167.49305555555554,,,2.4951388888888886,1.9979166666666666,1182.8055555555557,0.0,0,0,1,0,0,0,0,0
2019-02-21,2.9736111111111123,202.89583333333334,1.7145833333333327,18.068749999999998,11.605555555555553,81.3125,11.825694444444444,11.391666666666678,199.41958041958043,,,2.352083333333334,1.870138888888889,1182.8194444444443,0.0,0,0,1,0,0,0,0,0
2019-02-22,2.9722222222222214,188.73611111111111,1.8312499999999996,16.676388888888887,11.074305555555556,83.04166666666667,11.387499999999996,10.777083333333332,188.69444444444446,,,2.405555555555555,2.0215277777777776,1165.8194444444443,0.0,0,0,1,0,0,0,0,0
2019-02-23,2.8652777777777776,156.53472222222223,1.75625,16.428472222222226,11.575,82.1875,11.856944444444444,11.312500000000007,183.67361111111111,,,2.3361111111111104,1.912499999999999,1181.6180555555557,0.0,1,0,0,0,0,0,0,0
2019-02-24,2.4458333333333346,154.56944444444446,1.4847222222222216,16.90555555555555,12.363888888888878,76.61111111111111,12.636111111111115,12.10763888888889,203.625,,,2.006944444444445,1.644444444444444,1182.798611111111,0.0,1,0,0,0,0,0,0,0
2019-02-25,3.9708333333333323,131.86111111111111,2.288888888888889,18.825694444444448,18.268749999999986,41.93055555555556,18.5625,17.96250000000001,214.32638888888889,,,3.0229166666666667,2.4729166666666664,1166.611111111111,0.0,1,0,0,0,0,0,0,0
2019-02-26,5.761111111111109,219.47916666666666,3.752777777777778,11.420833333333336,14.973611111111113,49.94444444444444,15.18888888888889,14.772916666666674,197.875,,,4.6020833333333355,3.96875,1180.861111111111,0.0,0,0,1,0,0,0,0,0
2019-02-27,9.356250000000001,243.59722222222223,6.325,9.858333333333329,13.347222222222221,82.15972222222223,13.479861111111108,13.225694444444446,158.9375,,,7.521527777777779,6.578472222222224,1182.4583333333333,0.013194444444444444,0,0,1,0,0,0,0,0
