,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,West,East,North-East,North,South
2019-04-14,6.636805555555556,234.48611111111111,4.03888888888889,17.443749999999994,20.365972222222222,54.104166666666664,20.601388888888895,20.149305555555564,269.21527777777777,,,5.183333333333331,4.274305555555555,1181.951388888889,0.0,0,0,1,0,0,0,0,0
2019-04-15,3.2465277777777777,180.125,1.8409722222222225,19.314583333333342,15.712499999999999,86.40277777777777,15.863888888888887,15.546527777777776,130.52777777777777,,,2.595833333333333,2.06875,1181.798611111111,0.00902777777777778,0,0,1,0,0,0,0,0
2019-04-16,3.577777777777779,175.13888888888889,2.039583333333333,18.24513888888888,16.302777777777774,78.21527777777777,16.50694444444445,16.093055555555555,249.75694444444446,,,2.8701388888888877,2.2423611111111104,1165.8541666666667,0.0006944444444444445,1,0,0,0,0,0,0,0
2019-04-17,4.986805555555556,251.29861111111111,3.0236111111111117,14.110416666666662,15.618055555555559,77.18055555555556,15.850694444444436,15.397916666666665,253.63888888888889,,,3.9472222222222237,3.230555555555557,1181.875,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-04-18,4.750694444444448,224.94444444444446,2.756250000000001,15.950000000000005,15.200000000000005,69.75694444444444,15.442361111111104,14.97291666666666,303.69444444444446,,,3.6895833333333337,2.955555555555554,1182.8680555555557,0.0,0,0,1,0,0,0,0,0
2019-04-19,6.656250000000003,248.34027777777777,4.064583333333333,13.965277777777784,14.99652777777778,66.77777777777777,15.255555555555551,14.717361111111106,295.0,,,5.2736111111111095,4.309027777777781,1182.6180555555557,0.0,0,0,1,0,0,0,0,0
2019-04-20,5.884722222222223,237.22222222222223,3.68472222222222,13.056250000000002,14.503472222222216,72.22222222222223,14.754166666666672,14.263888888888879,267.6458333333333,,,4.685416666666667,3.8972222222222226,1166.048611111111,0.0,0,0,1,0,0,0,0,0
2019-04-21,7.854166666666667,276.0763888888889,4.402777777777777,16.607638888888882,13.665972222222226,63.263888888888886,13.912499999999998,13.429861111111112,264.5138888888889,,,5.8055555555555545,4.692361111111109,1165.8055555555557,0.001388888888888889,0,1,0,0,0,0,0,0
2019-04-22,4.9111111111111105,235.24305555555554,2.9083333333333323,15.82777777777777,13.547916666666667,63.8125,13.827083333333336,13.26180555555556,304.0486111111111,,,3.8861111111111137,3.0937499999999996,1166.3680555555557,0.0,0,0,1,0,0,0,0,0
2019-04-23,4.352083333333332,113.24305555555556,2.4409722222222228,21.049999999999997,14.943750000000001,64.49305555555556,15.22361111111111,14.66111111111111,315.24305555555554,,,3.3437500000000004,2.6597222222222223,1181.951388888889,0.0,1,0,0,0,0,0,0,0
2019-04-24,3.6930555555555578,106.52083333333333,2.0159722222222225,18.257638888888888,17.114583333333332,61.201388888888886,17.362499999999997,16.859722222222228,289.6875,,,2.7805555555555554,2.2020833333333334,1165.5694444444443,0.0,1,0,0,0,0,0,0,0
2019-04-25,3.642361111111112,167.35416666666666,1.9819444444444447,18.592361111111117,19.134722222222226,53.645833333333336,19.35138888888889,18.904861111111117,284.22222222222223,,,2.7486111111111104,2.1736111111111107,1181.5277777777778,0.0,0,0,1,0,0,0,0,0
2019-04-26,3.8423611111111122,147.94444444444446,2.0444444444444447,20.079166666666666,19.936111111111114,57.0,20.204166666666662,19.641666666666655,311.375,,,2.896527777777779,2.2736111111111104,1166.3194444444443,0.0,1,0,0,0,0,0,0,0
2019-04-27,3.7756944444444462,241.1875,2.1520833333333327,19.93958333333334,19.661805555555556,67.17361111111111,19.91944444444445,19.395138888888894,315.02777777777777,,,2.9694444444444463,2.3687500000000004,1164.9375,0.0,0,0,1,0,0,0,0,0
2019-04-28,3.6437500000000003,188.42361111111111,2.020833333333333,19.702083333333338,20.37986111111112,66.45138888888889,20.59166666666668,20.14930555555557,327.7083333333333,,,2.84375,2.2034722222222207,1181.4722222222222,0.0,0,0,1,0,0,0,0,0
2019-04-29,3.3729166666666663,200.625,1.9298611111111117,21.573611111111124,23.71388888888889,33.19444444444444,24.05486111111112,23.37013888888888,299.3263888888889,,,2.7263888888888896,2.1583333333333354,1166.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-04-30,3.4409722222222197,204.60416666666666,2.002777777777778,20.09444444444445,21.300694444444446,52.625,21.56388888888889,21.036805555555546,275.1388888888889,,,2.786111111111112,2.2111111111111112,1181.4652777777778,0.0,0,0,1,0,0,0,0,0
2019-05-01,3.211888111888112,155.53146853146853,1.7937062937062929,22.648251748251734,25.097902097902107,41.85314685314685,25.43566433566434,24.74125874125874,290.7062937062937,,,2.598601398601399,2.018181818181817,1162.3216783216783,0.0,1,0,0,0,0,0,0,0
2019-05-02,4.395138888888888,184.36111111111111,2.3777777777777773,25.9201388888889,24.113888888888898,52.395833333333336,24.425694444444446,23.80416666666667,141.40277777777777,,,3.4993055555555563,2.727083333333333,1183.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-05-03,4.100694444444446,222.75694444444446,2.177083333333334,19.564583333333342,19.01041666666667,76.54166666666667,19.23819444444444,18.79097222222222,306.7986111111111,,,3.1513888888888886,2.3944444444444435,1165.8055555555557,0.0,0,0,1,0,0,0,0,0
2019-05-04,4.118055555555557,165.65972222222223,2.269444444444444,22.78194444444444,17.84027777777777,70.68055555555556,18.123611111111114,17.558333333333326,338.75,,,3.188888888888888,2.475694444444445,1183.4305555555557,0.0,1,0,0,0,0,0,0,0
2019-05-05,3.224305555555557,176.45138888888889,1.7930555555555552,19.80833333333333,20.875000000000007,63.47222222222222,21.202083333333327,20.562500000000004,319.0833333333333,,,2.538194444444444,2.001388888888888,1166.4722222222222,0.0,0,0,1,0,0,0,0,0
2019-05-06,5.5062937062937065,214.2937062937063,3.1419580419580417,22.661538461538466,25.19650349650348,48.19580419580419,25.510489510489514,24.90839160839161,223.47552447552448,,,4.432167832167831,3.493006993006994,1177.5944055944055,0.0,0,0,1,0,0,0,0,0
2019-05-07,4.388888888888887,282.78472222222223,2.2368055555555553,20.4340277777778,19.329166666666666,70.17361111111111,19.580555555555566,19.11111111111111,294.3611111111111,,,3.3368055555555554,2.4729166666666673,1164.6805555555557,0.0,0,1,0,0,0,0,0,0
2019-05-08,4.0375000000000005,207.49305555555554,2.1562500000000004,20.879861111111104,17.5548611111111,65.82638888888889,17.84583333333333,17.252777777777766,330.4513888888889,,,3.1409722222222225,2.3791666666666664,1164.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-05-09,4.125899280575542,215.8273381294964,2.148920863309351,21.402158273381307,16.937410071942455,63.87769784172662,17.215107913669062,16.66187050359712,320.9208633093525,,,3.083453237410072,2.374100719424458,1156.474820143885,0.0,0,0,1,0,0,0,0,0
2019-05-10,3.977777777777779,182.40277777777777,2.143055555555556,20.2326388888889,16.871527777777782,62.18055555555556,17.149305555555557,16.59583333333333,295.7083333333333,,,3.0486111111111116,2.3618055555555557,1182.5902777777778,0.0,1,0,0,0,0,0,0,0
2019-05-11,3.6861111111111082,150.53472222222223,1.9916666666666676,20.79166666666667,18.67777777777778,60.93055555555556,18.9625,18.402777777777775,343.7638888888889,,,2.7874999999999996,2.187500000000001,1181.986111111111,0.0,1,0,0,0,0,0,0,0
2019-05-12,3.802777777777777,172.79861111111111,2.0437499999999997,17.987499999999997,20.98611111111112,57.916666666666664,21.296527777777776,20.688888888888883,338.4166666666667,,,2.863888888888888,2.261111111111111,1180.611111111111,0.0,1,0,0,0,0,0,0,0
2019-05-13,4.010416666666668,200.47916666666666,2.1909722222222214,17.925694444444435,23.24305555555556,43.888888888888886,23.4861111111111,23.013194444444437,344.2708333333333,,,3.0548611111111104,2.3715277777777786,1166.611111111111,0.0,0,0,1,0,0,0,0,0
2019-05-14,3.6013888888888905,203.04861111111111,1.9506944444444443,19.983333333333338,23.10277777777779,44.75694444444444,23.40138888888889,22.811111111111117,341.06944444444446,,,2.7562499999999996,2.145833333333334,1181.5347222222222,0.0,0,0,1,0,0,0,0,0
2019-05-15,3.7652777777777766,202.1875,2.1298611111111123,18.981944444444444,22.453472222222214,58.36805555555556,22.705555555555563,22.19930555555556,331.125,,,2.9388888888888887,2.3277777777777784,1183.1805555555557,0.0,0,0,1,0,0,0,0,0
2019-05-16,3.5375000000000005,135.26388888888889,1.9312500000000006,21.168055555555558,25.118750000000002,51.770833333333336,25.387500000000006,24.83888888888889,326.9375,,,2.713194444444444,2.1361111111111106,1183.2708333333333,0.0,1,0,0,0,0,0,0,0
2019-05-17,5.294444444444448,226.22222222222223,3.233333333333333,19.85763888888889,24.46249999999999,49.201388888888886,24.82361111111111,24.12569444444445,326.1111111111111,,,4.258333333333332,3.5208333333333344,1165.8333333333333,0.0,0,0,1,0,0,0,0,0
2019-05-18,4.009027777777776,184.66666666666666,2.279166666666667,18.40416666666667,23.033333333333317,48.645833333333336,23.290277777777796,22.785416666666674,333.40277777777777,,,3.0840277777777794,2.4486111111111115,1181.9305555555557,0.0,0,0,1,0,0,0,0,0
2019-05-19,4.025694444444445,190.19444444444446,2.045833333333334,20.881249999999998,21.00069444444445,64.36805555555556,21.255555555555556,20.74722222222222,349.13194444444446,,,2.9569444444444444,2.2368055555555557,1181.3958333333333,0.0,0,0,1,0,0,0,0,0
2019-05-20,3.6041666666666683,192.29861111111111,1.788888888888889,22.075000000000003,21.067361111111108,77.75,21.33541666666667,20.796527777777783,332.0625,,,2.6472222222222213,1.96875,1165.1805555555557,0.0,0,0,1,0,0,0,0,0
2019-05-21,3.8354166666666663,145.34722222222223,2.159027777777778,18.693749999999998,23.62777777777778,66.98611111111111,23.859027777777786,23.373611111111114,329.47222222222223,,,2.9354166666666663,2.3319444444444457,1166.6041666666667,0.0,1,0,0,0,0,0,0,0
2019-05-22,3.2375,185.85416666666666,1.9145833333333329,16.63263888888889,27.283333333333324,41.138888888888886,27.52013888888888,27.029166666666672,333.3125,,,2.5625,2.082638888888888,1182.8680555555557,0.0,0,0,1,0,0,0,0,0
2019-05-23,5.033333333333332,145.59722222222223,2.84513888888889,18.87222222222222,34.005555555555546,14.097222222222221,34.36041666666667,33.66111111111113,322.05555555555554,,,3.8770833333333337,3.097222222222222,1166.2916666666667,0.0,1,0,0,0,0,0,0,0
2019-05-24,5.050694444444444,233.61805555555554,3.000694444444444,18.68124999999999,31.807638888888903,34.145833333333336,32.15416666666667,31.47499999999999,282.1666666666667,,,4.006944444444446,3.259027777777777,1180.798611111111,0.0,0,0,1,0,0,0,0,0
2019-05-25,3.7458333333333322,237.54166666666666,1.8784722222222223,23.96388888888889,23.620138888888903,75.14583333333333,23.839583333333348,23.419444444444448,300.90972222222223,,,2.729861111111111,2.075,1165.4097222222222,0.0,0,0,1,0,0,0,0,0
2019-05-26,4.0673611111111105,137.14583333333334,2.0534722222222217,21.563888888888894,21.720833333333342,71.70833333333333,21.981250000000003,21.47222222222223,332.125,,,2.943055555555555,2.252083333333335,1166.375,0.0,1,0,0,0,0,0,0,0
2019-05-27,3.9368055555555546,189.79861111111111,2.0187500000000003,19.506250000000016,21.588194444444447,75.28472222222223,21.87291666666667,21.326388888888882,339.28472222222223,,,2.9263888888888894,2.2125000000000004,1182.4930555555557,0.0,0,0,1,0,0,0,0,0
2019-05-28,3.822222222222222,177.34722222222223,1.872916666666667,24.720833333333335,23.354861111111106,74.69444444444444,23.562499999999996,23.12986111111111,339.19444444444446,,,2.80138888888889,2.048611111111111,1165.7083333333333,0.0,0,0,1,0,0,0,0,0
2019-05-29,3.697222222222221,221.42361111111111,1.8979166666666667,22.907638888888897,24.366666666666664,74.17361111111111,24.585416666666664,24.159027777777776,335.97222222222223,,,2.75138888888889,2.0888888888888886,1165.923611111111,0.0,0,0,1,0,0,0,0,0
