,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,South,West,North-East,East
2019-04-20,6.059027777777775,233.23611111111111,3.4715277777777795,15.242361111111109,16.419444444444444,76.27777777777777,16.660416666666674,16.183333333333323,,,,4.50972222222222,3.689583333333333,1165.3055555555557,0.0,0,0,1,0,0,0,0,0
2019-04-21,8.968055555555551,271.00694444444446,4.497916666666669,18.91875,15.913888888888884,61.833333333333336,16.143055555555563,15.692361111111104,,,,6.0222222222222195,4.8069444444444445,1182.125,0.008333333333333333,0,1,0,0,0,0,0,0
2019-04-22,4.889583333333333,236.72222222222223,2.638888888888888,17.55763888888889,15.556944444444436,66.14583333333333,15.822916666666666,15.287500000000003,,,,3.5999999999999974,2.839583333333333,1182.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-04-23,4.077083333333333,171.77777777777777,2.135416666666666,19.51875,14.913194444444448,76.39583333333333,15.182638888888887,14.640972222222226,,,,2.9618055555555545,2.3229166666666665,1165.701388888889,0.0,1,0,0,0,0,0,0,0
2019-04-24,4.218750000000001,163.125,2.288194444444445,16.258333333333344,16.795833333333327,73.45138888888889,17.06666666666667,16.520833333333332,,,,3.1562500000000004,2.4611111111111112,1181.5416666666667,0.0,1,0,0,0,0,0,0,0
2019-04-25,4.088194444444444,172.375,2.12013888888889,18.949305555555572,18.867361111111123,68.85416666666667,19.161111111111108,18.57986111111111,,,,2.9847222222222216,2.308333333333334,1166.9375,0.0,1,0,0,0,0,0,0,0
2019-04-26,3.707638888888888,186.81944444444446,1.9548611111111112,22.215277777777786,19.586805555555543,72.5,19.86666666666666,19.317361111111108,,,,2.767361111111112,2.15,1181.6319444444443,0.0,1,0,0,0,0,0,0,0
2019-04-27,2.86388888888889,218.72916666666666,1.3972222222222221,24.743750000000006,19.00902777777778,84.79166666666667,19.286111111111115,18.723611111111115,,,,2.1048611111111124,1.5888888888888884,1166.826388888889,0.0,0,0,1,0,0,0,0,0
2019-04-28,3.1520833333333345,184.80555555555554,1.6888888888888887,20.099305555555567,19.20486111111111,86.29861111111111,19.45208333333335,18.977777777777792,,,,2.385416666666666,1.8652777777777776,1182.6944444444443,0.0,0,0,1,0,0,0,0,0
2019-04-29,2.591666666666667,180.56944444444446,1.350694444444444,24.30138888888889,21.959027777777774,62.74305555555556,22.25416666666666,21.660416666666674,,,,2.0062499999999996,1.5347222222222219,1182.951388888889,0.0,1,0,0,0,0,0,0,0
2019-04-30,2.7000000000000006,200.82638888888889,1.3750000000000004,22.298611111111118,20.414583333333326,83.71527777777777,20.674999999999997,20.135416666666654,,,,2.0138888888888897,1.53125,1181.1875,0.0,0,0,1,0,0,0,0,0
2019-05-01,3.483216783216783,140.6083916083916,2.0013986013986007,17.303496503496497,22.85314685314685,64.06993006993007,23.118881118881138,22.583216783216788,,,,2.7363636363636377,2.241258741258741,1180.188811188811,0.0,1,0,0,0,0,0,0,0
2019-05-02,3.673611111111111,204.95138888888889,1.802777777777778,29.355555555555547,22.397222222222226,80.29166666666667,22.675694444444453,22.12777777777778,,,,2.774999999999998,2.0868055555555567,1165.3125,0.0,0,0,1,0,0,0,0,0
2019-05-03,3.7708333333333335,238.01388888888889,1.7499999999999996,22.7111111111111,19.406944444444438,87.88888888888889,19.718055555555562,19.12986111111112,,,,2.608333333333334,1.9395833333333323,1165.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-05-04,4.347916666666668,170.36111111111111,2.2569444444444446,20.24097222222222,18.24722222222222,80.19444444444444,18.497916666666658,17.979166666666654,,,,3.1506944444444422,2.4770833333333337,1165.6319444444443,0.0,1,0,0,0,0,0,0,0
2019-05-05,2.8055555555555562,173.80555555555554,1.3993055555555558,23.64999999999999,19.31736111111111,79.61805555555556,19.656250000000007,18.954166666666666,,,,2.105555555555556,1.590972222222222,1181.5694444444443,0.0,1,0,0,0,0,0,0,0
2019-05-06,4.01048951048951,175.51048951048952,2.286713286713286,23.27972027972028,23.28531468531469,70.86013986013987,23.559440559440567,23.028671328671333,,,,3.2181818181818187,2.588111888111888,1161.811188811189,0.0,1,0,0,0,0,0,0,0
2019-05-07,3.785416666666662,269.7638888888889,1.7937500000000008,21.565277777777766,20.136805555555554,79.125,20.37777777777778,19.910416666666674,,,,2.620138888888889,1.9611111111111117,1182.6597222222222,0.0,0,0,1,0,0,0,0,0
2019-05-08,3.452083333333334,215.61805555555554,1.6958333333333335,21.74444444444444,18.106250000000014,75.46527777777777,18.387500000000003,17.822916666666664,,,,2.488194444444444,1.8777777777777773,1181.3958333333333,0.0,0,0,1,0,0,0,0,0
2019-05-09,3.818439716312059,246.52482269503545,1.829078014184397,23.348226950354608,18.163120567375888,71.41843971631205,18.4113475177305,17.90354609929078,,,,2.6730496453900696,1.9943262411347518,1167.099290780142,0.0,0,0,1,0,0,0,0,0
2019-05-10,3.803472222222224,196.38888888888889,1.9006944444444445,20.837499999999995,17.79236111111112,71.90972222222223,18.054166666666664,17.520138888888898,,,,2.747222222222222,2.0687499999999996,1166.736111111111,0.0,0,0,1,0,0,0,0,0
2019-05-11,3.582638888888888,159.96527777777777,1.9152777777777787,17.657638888888876,17.972222222222225,77.14583333333333,18.25625000000001,17.709722222222226,,,,2.6916666666666664,2.1013888888888896,1182.2152777777778,0.0,1,0,0,0,0,0,0,0
