,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,East,North-East,North,West,South
2019-02-15,7.369444444444448,199.65972222222223,4.634027777777781,11.81736111111111,12.67847222222222,50.40972222222222,12.80972222222222,12.556249999999997,184.49305555555554,0.19444444444444445,90.15277777777777,5.765972222222221,4.845833333333335,1181.0694444444443,0.0,0,0,1,0,0,0,0,0
2019-02-16,5.679166666666669,220.98611111111111,3.559722222222223,11.879861111111122,12.56041666666667,68.22916666666667,12.69791666666666,12.446527777777774,161.79861111111111,,70.125,4.537499999999999,3.7652777777777757,1182.173611111111,0.0,0,0,1,0,0,0,0,0
2019-02-17,4.36666666666667,174.98611111111111,2.864583333333333,11.322916666666664,12.149999999999999,61.166666666666664,12.302777777777784,11.999305555555557,164.45833333333334,,62.486111111111114,3.5131944444444434,3.038888888888889,1181.5972222222222,0.0,1,0,0,0,0,0,0,0
2019-02-18,4.163636363636363,213.27972027972027,2.644055944055944,12.706993006993006,10.233566433566432,79.35664335664336,10.381118881118883,10.092307692307694,141.88111888111888,1.25,86.77622377622377,3.386713286713286,2.8531468531468525,1181.6363636363637,0.006993006993006993,0,0,1,0,0,0,0,0
2019-02-19,3.420138888888888,205.375,2.1458333333333335,12.053472222222215,11.754861111111108,79.95138888888889,11.881250000000001,11.63819444444444,178.08333333333334,161.29166666666666,72.6875,2.7687500000000007,2.300694444444444,1181.75,0.0006944444444444445,0,0,1,0,0,0,0,0
2019-02-20,3.208333333333332,168.45833333333334,2.1416666666666657,12.327083333333325,12.297222222222226,80.72222222222223,12.40486111111111,12.192361111111106,153.50694444444446,11.095238095238095,102.74305555555556,2.646527777777779,2.293055555555555,1182.4583333333333,0.0,0,0,1,0,0,0,0,0
2019-02-21,3.0194444444444453,196.29166666666666,1.8923611111111098,12.277083333333334,11.981944444444444,77.16666666666667,12.139583333333341,11.838194444444454,178.5,184.04166666666666,71.27777777777777,2.4520833333333334,2.033333333333333,1181.4652777777778,0.0,0,0,1,0,0,0,0,0
2019-02-22,3.261111111111111,190.09722222222223,2.062500000000001,13.159722222222225,12.218750000000007,76.20138888888889,12.374305555555553,12.058333333333328,183.02898550724638,196.07638888888889,67.15972222222223,2.650000000000001,2.2263888888888888,1182.0277777777778,0.0,0,0,1,0,0,0,0,0
2019-02-23,3.3624999999999994,154.36805555555554,2.2284722222222224,14.375694444444447,12.293055555555553,75.8125,12.45416666666666,12.133333333333335,200.76388888888889,246.84722222222223,51.583333333333336,2.8041666666666667,2.3999999999999986,1165.6944444444443,0.0,1,0,0,0,0,0,0,0
2019-02-24,3.7194444444444463,108.72222222222223,2.534722222222221,13.484722222222219,13.363888888888889,70.15972222222223,13.516666666666666,13.216666666666669,208.21527777777777,159.2237762237762,85.625,3.1354166666666683,2.7020833333333325,1182.9791666666667,0.0,1,0,0,0,0,0,0,0
2019-02-25,6.665972222222219,117.875,3.9180555555555565,15.326388888888882,19.634027777777774,32.826388888888886,19.81180555555556,19.453472222222228,219.65277777777777,184.72916666666666,81.96527777777777,4.969444444444445,4.131250000000001,1182.6041666666667,0.0,1,0,0,0,0,0,0,0
2019-02-26,4.865972222222223,228.22916666666666,3.1138888888888903,12.486805555555549,14.941258741258745,45.68531468531469,15.105594405594411,14.771328671328673,196.91666666666666,125.04861111111111,96.29861111111111,3.9083333333333323,3.3111111111111113,1182.6597222222222,0.0,0,0,1,0,0,0,0,0
