,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-West,North,East,West,South-East,South,North-East
2019-04-14,7.430555555555555,245.5625,5.106249999999999,13.602777777777781,24.226388888888906,32.020833333333336,24.42708333333333,24.045833333333334,,,,6.4166666666666705,5.54513888888889,1182.4305555555557,0.0,0,1,0,0,0,0,0,0
2019-04-15,3.3249999999999997,178.79861111111111,2.2423611111111117,16.181944444444447,18.690972222222218,55.201388888888886,18.853472222222226,18.53055555555555,,,,2.9631944444444445,2.5409722222222233,1182.75,0.00625,0,1,0,0,0,0,0,0
2019-04-16,4.993055555555555,206.33333333333334,3.570138888888889,14.273611111111116,18.581944444444446,65.97222222222223,18.75000000000001,18.419444444444434,,,,4.435416666666667,3.8652777777777794,1182.9027777777778,0.0020833333333333337,0,1,0,0,0,0,0,0
2019-04-17,6.5500000000000025,231.20138888888889,4.572916666666667,16.159027777777762,18.579166666666666,52.395833333333336,18.784027777777773,18.382638888888888,,,,5.78541666666667,4.996527777777778,1182.611111111111,0.0,0,1,0,0,0,0,0,0
2019-04-18,7.577083333333336,194.38194444444446,5.477083333333334,13.509722222222218,18.07986111111111,48.458333333333336,18.31597222222222,17.85,,,,6.654861111111109,5.812499999999999,1183.2083333333333,0.0,0,1,0,0,0,0,0,0
2019-04-19,8.18263888888889,251.75694444444446,5.568055555555557,14.529861111111112,17.62083333333334,47.40972222222222,17.799305555555552,17.440972222222225,,,,7.0270833333333345,5.947222222222225,1181.9444444444443,0.0,0,1,0,0,0,0,0,0
2019-04-20,8.120833333333332,236.16666666666666,5.529861111111114,13.483333333333334,17.452777777777772,50.611111111111114,17.608333333333338,17.28888888888888,,,,6.9631944444444445,5.933333333333333,1166.513888888889,0.0,0,1,0,0,0,0,0,0
2019-04-21,11.186805555555559,242.50694444444446,7.31041666666667,17.461805555555554,15.862500000000004,46.604166666666664,16.058333333333334,15.674999999999999,,,,9.401388888888892,7.856250000000006,1165.1527777777778,0.001388888888888889,0,1,0,0,0,0,0,0
2019-04-22,8.235416666666664,260.9513888888889,5.850694444444443,13.463194444444447,16.361805555555563,44.69444444444444,16.56527777777778,16.18263888888889,,,,7.152083333333334,6.254861111111111,1182.4444444444443,0.0,0,1,0,0,0,0,0,0
2019-04-23,4.566666666666665,162.54861111111111,3.1236111111111087,14.381944444444441,17.519444444444446,44.854166666666664,17.72152777777777,17.31319444444445,,,,3.9569444444444457,3.3791666666666647,1181.5833333333333,0.0,1,0,0,0,0,0,0,0
2019-04-24,4.760416666666669,168.04166666666666,3.297222222222223,11.684722222222218,21.831249999999997,33.59027777777778,22.025694444444447,21.641666666666655,,,,4.163888888888888,3.5631944444444446,1183.3055555555557,0.0,1,0,0,0,0,0,0,0
2019-04-25,4.527777777777775,172.38194444444446,3.236111111111113,11.629166666666672,24.7263888888889,25.6875,24.913888888888895,24.558333333333334,,,,3.9722222222222223,3.4541666666666675,1165.1944444444443,0.0,0,1,0,0,0,0,0,0
2019-04-26,5.109722222222221,200.00694444444446,3.358333333333335,15.138194444444444,26.202777777777772,22.805555555555557,26.429166666666664,25.987500000000004,,,,4.397916666666666,3.6638888888888905,1180.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-04-27,6.534027777777775,196.70833333333334,4.847222222222225,9.48333333333333,26.361111111111107,22.15277777777778,26.536805555555546,26.19791666666667,,,,5.725694444444444,5.117361111111108,1166.1319444444443,0.0,0,1,0,0,0,0,0,0
