,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,Fail,East,North-West,North-East,North,South-East,West,South,South-West
2019-02-15,,,,,11.62638888888889,50.93055555555556,11.744444444444447,11.509722222222223,,,,,,,0.001388888888888889,1,0,0,0,0,0,0,0,0
2019-02-16,,,,,11.979861111111115,66.55555555555556,12.10555555555555,11.881944444444441,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-17,,,,,10.998611111111114,64.94444444444444,11.145138888888887,10.853472222222226,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-18,,,,,9.671830985915491,75.52112676056338,9.810563380281689,9.551408450704225,,,,,,,0.0035211267605633804,1,0,0,0,0,0,0,0,0
2019-02-19,,,,,10.415277777777776,80.81944444444444,10.528472222222222,10.29097222222222,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-20,,,,,11.729861111111113,76.80555555555556,11.886111111111113,11.590277777777779,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-21,,,,,11.04305555555555,75.63888888888889,11.169444444444444,10.924305555555556,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-22,,,,,10.4375,75.84722222222223,10.587499999999997,10.290277777777776,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-23,,,,,11.287500000000001,72.78472222222223,11.439583333333335,11.131250000000005,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-24,,,,,13.14375,63.520833333333336,13.29236111111111,13.001388888888888,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-25,,,,,17.62847222222222,36.986111111111114,17.802083333333343,17.454166666666662,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-26,,,,,15.159027777777778,39.46527777777778,15.301388888888896,15.01944444444445,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-02-27,,,,,13.493749999999999,69.34722222222223,13.576388888888886,13.400694444444447,,,,,,,0.002777777777777778,1,0,0,0,0,0,0,0,0
2019-02-28,,,,,11.036111111111108,75.23611111111111,11.134027777777774,10.947916666666664,,,,,,,0.03541666666666667,1,0,0,0,0,0,0,0,0
2019-03-01,,,,,9.748611111111106,90.22916666666667,9.818055555555556,9.684027777777773,,,,,,,0.015972222222222228,1,0,0,0,0,0,0,0,0
2019-03-02,,,,,11.332638888888884,76.73611111111111,11.420138888888891,11.240972222222224,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-03,,,,,11.627777777777778,61.34027777777778,11.777777777777771,11.47569444444444,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-04,,,,,12.418749999999996,69.40277777777777,12.564583333333324,12.274305555555555,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-05,,,,,11.902777777777779,81.83333333333333,12.006250000000001,11.803472222222224,,,,,,,0.09999999999999999,1,0,0,0,0,0,0,0,0
2019-03-06,,,,,12.568750000000003,80.39583333333333,12.705555555555552,12.447916666666663,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-07,,,,,12.441666666666665,79.05555555555556,12.576388888888884,12.30486111111111,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-08,,,,,13.907638888888892,70.57638888888889,14.054861111111109,13.772916666666667,,,,,,,0.0,1,0,0,0,0,0,0,0,0
2019-03-09,,,,,12.15347222222222,59.03472222222222,12.328472222222222,11.96875,,,,,,,0.0,1,0,0,0,0,0,0,0,0
