,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,North,South,West,North-East,East
2019-04-01,6.164583333333334,247.47916666666666,4.420833333333335,8.540277777777773,12.56666666666667,68.20138888888889,12.686111111111114,12.442361111111106,,,,5.272916666666664,4.654166666666671,1165.111111111111,0.001388888888888889,0,0,1,0,0,0,0,0
2019-04-02,5.026388888888888,221.93055555555554,3.2916666666666674,14.323611111111113,13.855555555555553,63.84722222222222,14.078472222222219,13.650694444444442,,,,4.175694444444442,3.545833333333333,1165.9722222222222,0.0,0,0,1,0,0,0,0,0
2019-04-03,3.671527777777779,168.0625,2.0652777777777773,21.031249999999993,15.186111111111112,57.416666666666664,15.394444444444437,14.993749999999993,,,,2.959027777777777,2.3215277777777765,1182.0416666666667,0.0,1,0,0,0,0,0,0,0
2019-04-04,4.238888888888889,230.63888888888889,2.547916666666666,24.998611111111117,16.845138888888897,62.88194444444444,17.054861111111112,16.670138888888893,,,,3.48263888888889,2.7847222222222214,1182.2083333333333,0.0,0,0,1,0,0,0,0,0
2019-04-05,3.864583333333335,279.3541666666667,2.3104166666666663,16.869444444444454,14.979166666666673,74.54166666666667,15.17569444444445,14.789583333333335,,,,3.1465277777777763,2.5597222222222222,1165.6041666666667,0.0,0,1,0,0,0,0,0,0
2019-04-06,3.5590277777777777,120.04861111111111,1.8166666666666669,24.13958333333334,18.073611111111113,54.104166666666664,18.243055555555564,17.891666666666666,,,,2.5958333333333328,2.0159722222222225,1166.8472222222222,0.0,1,0,0,0,0,0,0,0
2019-04-07,5.407638888888889,176.19444444444446,3.2930555555555547,16.12638888888888,21.40833333333334,41.24305555555556,21.601388888888888,21.208333333333336,,,,4.347222222222224,3.539583333333333,1181.0902777777778,0.0,0,0,1,0,0,0,0,0
2019-04-08,3.9361111111111082,220.97222222222223,2.4958333333333353,16.888888888888882,19.247916666666672,52.395833333333336,19.45277777777778,19.055555555555557,,,,3.268750000000001,2.694444444444447,1183.1041666666667,0.0,0,0,1,0,0,0,0,0
2019-04-09,6.069444444444442,225.70138888888889,3.831249999999998,14.161805555555556,18.42708333333333,58.888888888888886,18.620833333333323,18.233333333333327,,,,4.920833333333336,4.0625,1181.076388888889,0.0,0,0,1,0,0,0,0,0
2019-04-10,3.9895833333333335,263.47222222222223,2.422222222222223,18.975694444444443,15.311805555555553,65.97916666666667,15.509027777777776,15.118749999999993,,,,3.2597222222222224,2.6263888888888896,1181.7777777777778,0.0,0,0,1,0,0,0,0,0
2019-04-11,3.9597222222222226,235.6875,2.326388888888889,21.777777777777796,15.157638888888888,59.65972222222222,15.370138888888894,14.964583333333334,,,,3.19375,2.5520833333333326,1167.0,0.0,0,0,1,0,0,0,0,0
2019-04-12,4.104861111111113,185.24305555555554,2.4631944444444454,19.49444444444445,16.431250000000002,60.06944444444444,16.66527777777777,16.226388888888888,,,,3.3590277777777793,2.6874999999999982,1181.7847222222222,0.0,1,0,0,0,0,0,0,0
2019-04-13,4.73402777777778,127.47222222222223,2.498611111111111,22.726388888888884,21.816666666666677,42.3125,22.043055555555547,21.585416666666656,,,,3.457638888888889,2.7173611111111127,1165.4930555555557,0.0,1,0,0,0,0,0,0,0
2019-04-14,7.318749999999999,254.43055555555554,4.902083333333333,12.520138888888885,20.69583333333332,44.61805555555556,20.90625,20.50902777777779,,,,5.925694444444446,5.164583333333334,1183.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-04-15,3.1215277777777777,159.40277777777777,1.8111111111111111,21.993055555555568,16.145833333333332,73.11805555555556,16.293055555555547,16.009027777777774,,,,2.4673611111111104,1.995138888888889,1182.3402777777778,0.00902777777777778,1,0,0,0,0,0,0,0
2019-04-16,4.681944444444447,227.67361111111111,2.971527777777778,15.607638888888893,16.26944444444444,71.27777777777777,16.44930555555555,16.102083333333336,,,,3.816666666666666,3.1861111111111104,1182.3333333333333,0.0020833333333333337,0,0,1,0,0,0,0,0
2019-04-17,6.000694444444447,269.3333333333333,4.052777777777778,12.863194444444447,14.841666666666669,70.83333333333333,15.059722222222213,14.629861111111106,,,,5.036805555555556,4.286805555555556,1165.8680555555557,0.0,0,0,1,0,0,0,0,0
2019-04-18,5.097222222222225,249.4375,3.1500000000000004,14.748611111111103,14.50138888888889,64.29166666666667,14.735416666666667,14.269444444444453,,,,4.124305555555554,3.373611111111112,1167.125,0.0,0,0,1,0,0,0,0,0
2019-04-19,7.053472222222223,257.59722222222223,4.5986111111111105,18.845833333333328,14.231944444444448,61.72222222222222,14.451388888888882,14.019444444444437,,,,5.728472222222224,4.827083333333337,1166.0208333333333,0.0,0,0,1,0,0,0,0,0
2019-04-20,7.33263888888889,257.31944444444446,4.9743055555555555,10.382638888888893,14.318055555555548,65.49305555555556,14.545138888888895,14.118750000000006,,,,6.106944444444446,5.2229166666666655,1183.0972222222222,0.0,0,0,1,0,0,0,0,0
2019-04-21,10.441666666666663,268.00694444444446,7.333333333333333,9.502777777777778,11.933333333333332,68.20833333333333,12.160416666666665,11.731249999999998,,,,8.624999999999998,7.629166666666666,1165.763888888889,0.015972222222222224,0,0,1,0,0,0,0,0
2019-04-22,6.318055555555556,253.47222222222223,4.227777777777777,11.045138888888891,12.638194444444448,62.895833333333336,12.840277777777775,12.443055555555551,,,,5.2555555555555555,4.459027777777776,1165.861111111111,0.0,0,0,1,0,0,0,0,0
2019-04-23,3.7444444444444462,191.54861111111111,2.209027777777778,22.739583333333336,14.015972222222217,59.736111111111114,14.254861111111113,13.790277777777776,,,,3.0173611111111116,2.406944444444443,1166.3194444444443,0.0,0,0,1,0,0,0,0,0
2019-04-24,4.428472222222223,148.26388888888889,2.616666666666667,18.775694444444447,17.914583333333336,51.486111111111114,18.124999999999996,17.693749999999994,,,,3.5430555555555574,2.877083333333333,1184.048611111111,0.0,1,0,0,0,0,0,0,0
2019-04-25,4.477083333333336,145.55555555555554,2.7437499999999995,17.419444444444448,20.502777777777776,43.298611111111114,20.723611111111122,20.270138888888887,,,,3.6284722222222214,2.981944444444442,1166.3819444444443,0.0,1,0,0,0,0,0,0,0
2019-04-26,5.2020833333333325,119.33333333333333,3.065972222222222,17.083333333333314,21.518055555555556,36.46527777777778,21.74722222222222,21.294444444444444,,,,4.1111111111111125,3.332638888888889,1165.1458333333333,0.0,1,0,0,0,0,0,0,0
2019-04-27,4.455555555555559,253.25,2.7256944444444438,21.53402777777778,21.0,44.736111111111114,21.217361111111103,20.781249999999996,,,,3.588194444444443,2.9354166666666663,1181.861111111111,0.0,0,0,1,0,0,0,0,0
2019-04-28,3.5201388888888885,218.97222222222223,2.102083333333334,22.058333333333337,21.04583333333333,47.93055555555556,21.27847222222222,20.81597222222222,,,,2.8666666666666663,2.299305555555556,1182.826388888889,0.0,0,0,1,0,0,0,0,0
2019-04-29,4.409027777777776,206.69444444444446,2.510416666666666,22.7951388888889,24.879166666666663,26.479166666666668,25.11875000000001,24.645833333333336,,,,3.4347222222222222,2.7680555555555557,1183.7916666666667,0.0,0,0,1,0,0,0,0,0
2019-04-30,3.6951388888888883,217.28472222222223,2.2972222222222225,20.71041666666666,23.590972222222216,31.958333333333332,23.818749999999994,23.380555555555553,,,,3.0777777777777757,2.518750000000001,1165.6875,0.0,0,0,1,0,0,0,0,0
2019-05-01,4.5412587412587415,141.25174825174824,2.553146853146853,20.042657342657346,26.54335664335666,24.04895104895105,26.756643356643362,26.330069930069932,,,,3.446853146853148,2.788111888111888,1179.3566433566434,0.0,1,0,0,0,0,0,0,0
2019-05-02,4.413194444444446,218.1875,2.620138888888889,20.937500000000004,25.967361111111114,28.875,26.16875,25.780555555555544,,,,3.576388888888889,2.927083333333332,1183.1666666666667,0.0,0,0,1,0,0,0,0,0
2019-05-03,6.249305555555557,285.06944444444446,4.109027777777777,13.410416666666661,19.47500000000001,59.986111111111114,19.66388888888889,19.293750000000003,,,,5.0972222222222205,4.341666666666667,1165.763888888889,0.0,0,1,0,0,0,0,0,0
2019-05-04,3.7694444444444435,200.32638888888889,2.18263888888889,25.060416666666672,18.52708333333333,59.34027777777778,18.761805555555558,18.277083333333334,,,,2.9993055555555554,2.4000000000000004,1164.4722222222222,0.0,0,0,1,0,0,0,0,0
2019-05-05,3.5041666666666647,144.24305555555554,1.9590277777777783,22.96388888888889,23.693750000000005,41.05555555555556,23.954166666666655,23.415972222222223,,,,2.7187500000000004,2.1750000000000003,1181.763888888889,0.0,1,0,0,0,0,0,0,0
2019-05-06,6.197902097902098,198.62937062937064,3.667832167832169,19.205594405594404,26.090209790209787,33.34265734265734,26.315384615384616,25.855944055944065,,,,4.851048951048953,3.987412587412587,1178.6713286713286,0.0,0,0,1,0,0,0,0,0
2019-05-07,6.221527777777779,300.3263888888889,3.9520833333333303,14.041666666666663,18.83888888888889,63.8125,19.035416666666674,18.662500000000005,,,,5.059027777777779,4.203472222222222,1182.25,0.0,0,1,0,0,0,0,0,0
2019-05-08,4.856944444444443,252.45138888888889,2.876388888888888,18.440972222222218,17.129861111111108,58.541666666666664,17.35486111111112,16.922916666666666,,,,3.886805555555556,3.1125000000000003,1165.4791666666667,0.0,0,0,1,0,0,0,0,0
2019-05-09,4.715000000000002,259.1928571428571,2.853571428571428,16.8742857142857,15.94714285714286,62.25,16.20571428571428,15.697142857142863,,,,3.802142857142856,3.0564285714285706,1145.7928571428572,0.0,0,0,1,0,0,0,0,0
2019-05-10,4.027777777777778,219.63888888888889,2.431944444444444,21.891666666666683,16.43472222222223,58.111111111111114,16.66527777777777,16.202777777777776,,,,3.25486111111111,2.665277777777777,1165.875,0.0,0,0,1,0,0,0,0,0
2019-05-11,3.816666666666668,207.72222222222223,2.3347222222222217,21.64930555555556,19.911805555555546,44.36805555555556,20.152777777777786,19.67222222222222,,,,3.0875,2.5319444444444446,1165.4444444444443,0.0,0,0,1,0,0,0,0,0
2019-05-12,4.705555555555552,220.04166666666666,2.869444444444444,17.656944444444445,23.695138888888884,34.736111111111114,23.918749999999992,23.456249999999997,,,,3.773611111111111,3.072222222222222,1181.2708333333333,0.0,0,0,1,0,0,0,0,0
2019-05-13,4.076388888888888,221.11111111111111,2.540277777777778,19.765277777777776,25.85000000000001,22.88888888888889,26.116666666666667,25.591666666666654,,,,3.3076388888888895,2.7423611111111112,1183.013888888889,0.0,0,0,1,0,0,0,0,0
2019-05-14,4.1291666666666655,212.86111111111111,2.6131944444444453,23.033333333333342,25.981944444444444,23.3125,26.228472222222226,25.731250000000014,,,,3.388194444444445,2.822222222222224,1182.6944444444443,0.0,0,0,1,0,0,0,0,0
2019-05-15,3.8743055555555563,224.39583333333334,2.4409722222222228,18.809027777777782,24.69722222222222,40.0625,24.9236111111111,24.473611111111108,,,,3.1909722222222214,2.6236111111111104,1181.736111111111,0.0,0,0,1,0,0,0,0,0
2019-05-16,3.6673611111111106,238.28472222222223,2.166666666666668,26.186111111111117,26.558333333333337,36.423611111111114,26.78263888888889,26.32916666666667,,,,2.970138888888888,2.3520833333333337,1182.0277777777778,0.0,0,0,1,0,0,0,0,0
2019-05-17,6.63611111111111,233.375,4.189583333333334,15.388888888888886,24.922916666666676,39.40972222222222,25.143055555555556,24.70277777777777,,,,5.233333333333332,4.42638888888889,1182.361111111111,0.0,0,0,1,0,0,0,0,0
2019-05-18,4.325694444444443,218.72222222222223,2.5548611111111104,20.261805555555554,23.585416666666667,41.111111111111114,23.808333333333326,23.347916666666674,,,,3.4694444444444454,2.787499999999999,1182.1527777777778,0.0,0,0,1,0,0,0,0,0
2019-05-19,4.950694444444443,276.22222222222223,3.0701388888888896,15.766666666666659,21.178472222222226,47.13194444444444,21.39236111111111,20.979166666666664,,,,4.011111111111111,3.2833333333333337,1165.0625,0.0,0,1,0,0,0,0,0,0
2019-05-20,4.465277777777777,256.59027777777777,2.732638888888889,21.848611111111104,22.07430555555556,63.791666666666664,22.30694444444445,21.85486111111111,,,,3.6416666666666666,2.9548611111111107,1182.0555555555557,0.0,0,0,1,0,0,0,0,0
2019-05-21,4.479861111111109,183.18055555555554,2.6180555555555562,20.818749999999998,27.273611111111105,45.77777777777778,27.492361111111112,27.047222222222224,,,,3.565277777777777,2.877083333333334,1180.736111111111,0.0,0,0,1,0,0,0,0,0
2019-05-22,3.9479166666666665,173.02777777777777,2.313194444444445,22.270138888888894,29.97361111111111,22.708333333333332,30.24027777777779,29.720138888888894,,,,3.1979166666666665,2.544444444444444,1165.3958333333333,0.0,0,0,1,0,0,0,0,0
2019-05-23,4.766666666666669,133.26388888888889,2.3777777777777778,26.44583333333334,33.732638888888886,12.5,33.983333333333356,33.47222222222223,,,,3.3618055555555553,2.6402777777777784,1183.423611111111,0.0,1,0,0,0,0,0,0,0
2019-05-24,6.455555555555555,208.27083333333334,3.9638888888888895,16.17291666666667,31.89583333333333,26.680555555555557,32.153472222222234,31.657638888888883,,,,5.149305555555557,4.2583333333333355,1165.888888888889,0.0,0,0,1,0,0,0,0,0
2019-05-25,5.168055555555555,288.94444444444446,3.261111111111111,16.262500000000003,24.218055555555562,64.58333333333333,24.399305555555557,24.036111111111115,,,,4.198611111111111,3.472916666666665,1182.3680555555557,0.0,0,1,0,0,0,0,0,0
2019-05-26,5.295138888888888,290.88194444444446,3.379861111111112,14.53125,23.02638888888888,58.84722222222222,23.206944444444446,22.845138888888883,,,,4.301388888888887,3.589583333333333,1182.0069444444443,0.0,0,1,0,0,0,0,0,0
2019-05-27,4.583333333333333,259.11805555555554,2.9229166666666653,18.79236111111111,22.818749999999987,62.78472222222222,23.02013888888889,22.608333333333334,,,,3.7430555555555554,3.1229166666666655,1180.9097222222222,0.0,0,0,1,0,0,0,0,0
2019-05-28,5.338888888888888,296.69444444444446,3.2756944444444445,17.338194444444444,23.564788732394366,67.61267605633803,23.74859154929578,23.376760563380284,,,,4.3020833333333375,3.4763888888888888,1181.0555555555557,0.0,0,1,0,0,0,0,0,0
2019-05-29,5.153472222222221,269.0138888888889,3.3402777777777777,19.093055555555555,25.84027777777778,63.09722222222222,26.05000000000001,25.63611111111111,,,,4.2375,3.5395833333333337,1165.3680555555557,0.0,0,0,1,0,0,0,0,0
2019-05-30,5.12638888888889,259.8888888888889,3.2729166666666654,18.459027777777777,27.70694444444445,52.53472222222222,27.927777777777777,27.483333333333338,,,,4.18611111111111,3.50486111111111,1181.8125,0.0,0,0,1,0,0,0,0,0
2019-05-31,5.4847222222222225,266.3263888888889,3.5145833333333347,16.600694444444443,26.269444444444446,59.25694444444444,26.459027777777777,26.08819444444444,,,,4.480555555555556,3.7138888888888895,1181.2847222222222,0.0,0,0,1,0,0,0,0,0
2019-06-01,5.297916666666668,278.0486111111111,3.3881944444444443,15.443750000000003,25.649305555555557,58.90972222222222,25.840972222222227,25.46458333333334,,,,4.314583333333333,3.585416666666667,1181.1527777777778,0.0,0,1,0,0,0,0,0,0
