,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-West,South-East,South-West,West,North,East,North-East,South
2019-04-19,6.181944444444443,264.15972222222223,3.818749999999999,14.094444444444441,13.265972222222226,61.361111111111114,13.447916666666664,13.095138888888883,,,,5.00138888888889,4.064583333333332,1182.7708333333333,0.0,0,1,0,0,0,0,0,0
2019-04-20,6.352083333333335,269.4166666666667,4.059027777777776,12.367361111111109,13.495138888888883,65.69444444444444,13.654166666666661,13.342361111111108,,,,5.252083333333334,4.313888888888887,1182.5,0.0,0,1,0,0,0,0,0,0
2019-04-21,9.676388888888882,273.71527777777777,6.411111111111108,10.70347222222222,11.440277777777775,68.86111111111111,11.596527777777778,11.292361111111115,,,,7.843055555555558,6.745833333333334,1180.7777777777778,0.028472222222222218,0,1,0,0,0,0,0,0
2019-04-22,6.463888888888886,267.4236111111111,4.249999999999998,12.308333333333334,12.127083333333337,61.236111111111114,12.270138888888887,11.990277777777772,,,,5.340972222222224,4.518055555555555,1166.3333333333333,0.0,0,1,0,0,0,0,0,0
2019-04-23,3.707638888888888,171.73611111111111,2.114583333333334,22.023611111111112,13.520138888888889,57.625,13.687500000000004,13.357638888888891,,,,3.0333333333333328,2.3777777777777773,1167.263888888889,0.0,1,0,0,0,0,0,0,0
2019-04-24,4.211111111111112,183.10416666666666,2.4791666666666665,17.470138888888883,17.056944444444447,53.736111111111114,17.235416666666676,16.88055555555556,,,,3.4104166666666664,2.7236111111111105,1182.701388888889,0.0,0,0,1,0,0,0,0,0
2019-04-25,4.359027777777782,192.61805555555554,2.539583333333334,17.927083333333336,19.79583333333334,42.28472222222222,19.993055555555554,19.60208333333333,,,,3.4451388888888874,2.787499999999999,1183.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-04-26,4.727777777777778,183.08333333333334,2.699305555555556,20.60000000000001,20.87916666666666,36.354166666666664,21.08333333333334,20.68472222222223,,,,3.7451388888888895,2.96111111111111,1181.6944444444443,0.0,0,0,1,0,0,0,0,0
2019-04-27,4.738194444444443,289.8611111111111,2.7208333333333337,18.561805555555548,20.626388888888886,44.416666666666664,20.813888888888883,20.449999999999996,,,,3.7388888888888894,2.9624999999999977,1166.5277777777778,0.0,0,1,0,0,0,0,0,0
2019-04-28,3.4270833333333326,228.01388888888889,1.9291666666666651,22.62152777777778,20.58888888888889,38.47222222222222,20.789583333333336,20.404861111111114,,,,2.77013888888889,2.164583333333334,1182.25,0.0,0,0,1,0,0,0,0,0
2019-04-29,3.9756944444444478,205.05555555555554,2.264583333333332,24.333333333333336,23.62777777777778,26.416666666666668,23.834722222222222,23.43888888888889,,,,3.211111111111112,2.552777777777778,1182.6944444444443,0.0,0,0,1,0,0,0,0,0
2019-04-30,3.790277777777776,236.24305555555554,2.1847222222222227,21.970138888888897,23.525000000000006,31.805555555555557,23.715277777777782,23.334722222222226,,,,3.0909722222222227,2.4472222222222224,1181.263888888889,0.0,0,0,1,0,0,0,0,0
2019-05-01,3.6083916083916083,105.5944055944056,2.3405594405594408,17.474825174825163,24.478321678321688,23.251748251748253,24.6986013986014,24.265734265734274,,,,3.072027972027973,2.576923076923076,1178.979020979021,0.0,1,0,0,0,0,0,0,0
2019-05-02,4.063194444444443,221.29166666666666,2.350694444444444,20.288888888888884,25.09027777777777,28.63888888888889,25.2486111111111,24.928472222222226,,,,3.2520833333333345,2.6486111111111104,1182.0208333333333,0.0,0,0,1,0,0,0,0,0
2019-05-03,6.721527777777778,300.06944444444446,3.9166666666666665,17.29375,19.24375,58.65277777777778,19.384027777777785,19.113194444444442,,,,5.200694444444443,4.180555555555555,1166.9791666666667,0.0,0,1,0,0,0,0,0,0
2019-05-04,4.16875,199.53472222222223,2.340972222222222,22.172222222222224,17.47361111111111,59.36805555555556,17.65347222222222,17.29652777777778,,,,3.2958333333333325,2.5881944444444445,1181.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-05-05,2.970138888888888,138.44444444444446,1.8305555555555557,17.18680555555555,21.53402777777778,45.59027777777778,21.74097222222222,21.32083333333332,,,,2.5041666666666673,2.035416666666667,1182.4027777777778,0.0,1,0,0,0,0,0,0,0
2019-05-06,5.617482517482517,183.12587412587413,3.4636363636363643,17.572727272727263,24.002097902097905,34.37062937062937,24.221678321678322,23.78601398601398,,,,4.46013986013986,3.7412587412587412,1178.4615384615386,0.0,0,0,1,0,0,0,0,0
2019-05-07,6.181944444444443,304.7708333333333,3.6284722222222223,15.701388888888886,17.80763888888889,65.9375,17.95694444444445,17.685416666666672,,,,4.806944444444444,3.8840277777777774,1165.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-05-08,5.2472222222222245,247.95833333333334,2.9770833333333346,17.961805555555554,15.96944444444445,57.25694444444444,16.140972222222224,15.804861111111112,,,,4.104861111111111,3.238888888888889,1165.548611111111,0.0,0,0,1,0,0,0,0,0
2019-05-09,4.997872340425533,289.88652482269504,2.8531914893617016,19.780851063829783,15.38794326241135,64.58156028368795,15.555319148936169,15.228368794326247,,,,3.898581560283689,3.105673758865247,1150.7659574468084,0.0,0,1,0,0,0,0,0,0
2019-05-10,4.080555555555556,211.1875,2.3055555555555562,21.836805555555557,15.479861111111113,59.34027777777778,15.650694444444447,15.305555555555559,,,,3.2465277777777795,2.5381944444444446,1166.1944444444443,0.0,0,0,1,0,0,0,0,0
2019-05-11,3.718750000000001,201.74305555555554,2.1666666666666665,20.624999999999993,18.71875000000001,43.47222222222222,18.90902777777777,18.52986111111111,,,,2.986805555555557,2.3798611111111097,1165.5833333333333,0.0,0,0,1,0,0,0,0,0
2019-05-12,4.104861111111111,211.40972222222223,2.3562499999999997,20.949305555555554,22.37569444444445,32.875,22.57499999999999,22.172916666666666,,,,3.2576388888888883,2.5597222222222213,1182.6041666666667,0.0,0,0,1,0,0,0,0,0
2019-05-13,4.226388888888888,201.52083333333334,2.3833333333333337,20.999305555555562,24.47222222222222,24.9375,24.70277777777779,24.240277777777788,,,,3.2895833333333337,2.612500000000001,1181.2777777777778,0.0,0,0,1,0,0,0,0,0
2019-05-14,4.275000000000002,186.36805555555554,2.44375,21.362499999999997,25.235416666666662,22.166666666666668,25.455555555555566,25.03263888888889,,,,3.382638888888889,2.683333333333333,1165.4444444444443,0.0,0,0,1,0,0,0,0,0
2019-05-15,3.9381944444444446,254.22222222222223,2.366666666666666,17.211111111111116,25.15069444444445,28.381944444444443,25.370138888888885,24.945833333333344,,,,3.170833333333334,2.5701388888888888,1181.8958333333333,0.0,0,0,1,0,0,0,0,0
2019-05-16,3.852083333333333,217.29166666666666,2.261111111111111,21.45104895104895,26.626388888888894,28.625,26.854861111111113,26.406250000000004,,,,3.0625000000000013,2.4722222222222223,1164.986111111111,0.0,0,0,1,0,0,0,0,0
2019-05-17,6.079166666666665,226.11805555555554,3.5625,19.236805555555552,23.627777777777776,38.84027777777778,23.820138888888884,23.428472222222215,,,,4.6791666666666645,3.813194444444443,1182.2777777777778,0.0,0,0,1,0,0,0,0,0
2019-05-18,3.815277777777779,229.54861111111111,2.184027777777778,18.865277777777788,22.247222222222224,39.24305555555556,22.45763888888889,22.033333333333335,,,,3.0256944444444454,2.4076388888888887,1182.6527777777778,0.0,0,0,1,0,0,0,0,0
2019-05-19,5.048611111111113,277.6111111111111,3.0201388888888885,16.381944444444443,20.467361111111106,51.104166666666664,20.648611111111116,20.292361111111116,,,,4.020833333333332,3.258333333333332,1181.861111111111,0.0,0,1,0,0,0,0,0,0
2019-05-20,4.178472222222222,268.8333333333333,2.3777777777777778,22.092361111111106,21.41597222222222,62.229166666666664,21.597916666666677,21.249305555555566,,,,3.308333333333333,2.6194444444444454,1182.1597222222222,0.0,0,1,0,0,0,0,0,0
2019-05-21,4.377083333333335,236.88888888888889,2.577777777777779,19.862500000000008,25.73819444444444,48.361111111111114,25.938888888888883,25.546527777777783,,,,3.497222222222222,2.859722222222221,1183.2430555555557,0.0,0,0,1,0,0,0,0,0
2019-05-22,3.646527777777777,146.45833333333334,2.161111111111112,22.318749999999998,28.65069444444445,21.90972222222222,28.85833333333334,28.438888888888886,,,,2.97013888888889,2.4062499999999982,1182.7916666666667,0.0,1,0,0,0,0,0,0,0
2019-05-23,4.080555555555558,111.04861111111111,2.5291666666666646,16.55000000000001,31.12847222222223,14.597222222222221,31.391666666666666,30.875694444444427,,,,3.409722222222226,2.8062499999999995,1182.1180555555557,0.0,1,0,0,0,0,0,0,0
2019-05-24,5.498611111111111,202.40972222222223,3.357638888888888,15.681944444444436,30.29861111111111,26.006944444444443,30.522222222222233,30.072222222222237,,,,4.48611111111111,3.6319444444444438,1182.25,0.0,0,0,1,0,0,0,0,0
2019-05-25,5.383333333333332,303.13194444444446,3.1881944444444454,17.14236111111111,23.302083333333332,66.80555555555556,23.457638888888894,23.158333333333342,,,,4.23125,3.418055555555555,1181.513888888889,0.0,0,1,0,0,0,0,0,0
2019-05-26,5.148611111111111,312.88194444444446,3.0236111111111117,16.828472222222224,22.077777777777783,59.479166666666664,22.22291666666666,21.933333333333326,,,,4.040972222222219,3.2500000000000013,1166.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-05-27,4.484027777777777,299.09722222222223,2.6083333333333347,18.324305555555554,22.21805555555555,59.138888888888886,22.39791666666667,22.049999999999997,,,,3.551388888888889,2.8222222222222215,1182.5347222222222,0.0,0,1,0,0,0,0,0,0
2019-05-28,5.194444444444446,306.72222222222223,3.0020833333333345,17.63125,22.5638888888889,68.81944444444444,22.71249999999999,22.42986111111111,,,,4.075,3.2215277777777778,1181.326388888889,0.0,0,1,0,0,0,0,0,0
2019-05-29,5.45625,279.2083333333333,3.2444444444444454,17.07152777777777,24.867361111111105,62.270833333333336,25.03125,24.720138888888883,,,,4.218055555555555,3.4624999999999995,1181.9305555555557,0.0,0,1,0,0,0,0,0,0
