,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,North,West,East,South
2019-04-01,6.4979166666666694,217.84722222222223,4.2124999999999995,13.903472222222213,18.441666666666666,38.55555555555556,18.584722222222222,18.30694444444444,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-02,4.592361111111111,222.39583333333334,2.7868055555555546,16.472222222222214,19.722916666666656,41.15277777777778,19.918750000000003,19.528472222222224,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-03,3.0541666666666667,128.0,1.765277777777778,20.194444444444457,19.574305555555544,44.770833333333336,19.738888888888884,19.40972222222222,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-04-04,5.6083333333333325,139.04861111111111,3.7465277777777786,18.640277777777786,21.29861111111112,52.833333333333336,21.434722222222227,21.168750000000003,,,,,,,0.003472222222222222,0,1,0,0,0,0,0,0
2019-04-05,5.220833333333334,233.90277777777777,3.302777777777777,20.102777777777778,20.897916666666664,48.611111111111114,21.040277777777774,20.755555555555546,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-06,2.9798611111111133,119.11805555555556,1.8319444444444442,18.639583333333334,20.56736111111111,50.5625,20.693055555555546,20.445833333333336,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-04-07,3.665972222222222,174.49305555555554,2.257638888888888,18.53472222222222,24.984027777777786,36.55555555555556,25.186805555555566,24.79305555555555,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-04-08,3.7624999999999997,202.60416666666666,2.391666666666666,19.002083333333335,25.390277777777786,35.84027777777778,25.56875000000001,25.207638888888887,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-09,5.729861111111109,206.30555555555554,3.763194444444446,20.60208333333333,23.54444444444444,41.84722222222222,23.734027777777783,23.366666666666674,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-10,5.816666666666666,262.15972222222223,3.6784722222222217,20.42083333333333,21.76388888888888,39.326388888888886,21.954861111111107,21.605555555555554,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-11,3.905555555555557,155.46527777777777,2.369444444444445,18.12430555555555,20.31319444444444,41.09027777777778,20.504166666666666,20.12708333333332,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-04-12,4.343055555555555,149.72916666666666,2.715972222222223,15.040972222222223,21.323611111111113,43.166666666666664,21.498611111111114,21.142361111111107,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-04-13,3.0930555555555563,143.47222222222223,1.9506944444444454,19.400694444444444,23.986111111111114,37.423611111111114,24.186111111111114,23.785416666666663,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-04-14,7.035416666666664,242.88888888888889,4.590277777777775,13.759722222222225,25.704166666666666,30.618055555555557,25.90416666666666,25.522222222222226,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-04-15,3.5548611111111104,206.90277777777777,2.3277777777777775,15.062500000000004,20.841666666666654,57.645833333333336,20.938888888888883,20.740972222222226,,,,,,,0.00625,0,0,0,1,0,0,0,0
2019-04-16,4.33472222222222,232.50694444444446,2.801388888888889,16.364583333333336,21.36041666666667,56.8125,21.528472222222227,21.203472222222235,,,,,,,0.0020833333333333337,0,0,0,1,0,0,0,0
2019-04-17,5.899305555555552,279.71527777777777,3.8076388888888895,17.25972222222223,20.798611111111107,45.270833333333336,21.006249999999994,20.609027777777772,,,,,,,0.0,0,0,1,0,0,0,0,0
2019-04-18,5.058333333333335,249.09027777777777,3.099305555555556,20.24930555555556,19.83958333333334,43.25694444444444,20.031944444444438,19.65555555555556,,,,,,,0.0,0,0,0,1,0,0,0,0
