,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-East,South-West,South,East,West,North
2019-02-15,7.365277777777777,209.13888888888889,5.056944444444442,10.650000000000002,15.979861111111113,37.583333333333336,16.13611111111112,15.832638888888889,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-02-16,3.779861111111112,202.07638888888889,2.3715277777777786,14.740277777777784,15.477777777777781,49.625,15.58958333333333,15.371527777777784,,,,,,,0.002777777777777778,0,0,0,1,0,0,0,0
2019-02-17,3.149305555555554,207.04166666666666,2.0500000000000007,17.1375,14.600694444444448,47.15277777777778,14.772222222222211,14.422222222222217,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-02-18,3.930769230769232,214.84615384615384,2.6363636363636354,16.340559440559442,13.150349650349654,65.7062937062937,13.311188811188803,12.993706293706289,,,,,,,0.02377622377622378,0,0,0,1,0,0,0,0
2019-02-19,2.487499999999999,216.94444444444446,1.5875000000000004,23.577083333333334,14.452083333333329,65.40972222222223,14.586805555555555,14.325694444444444,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-02-20,3.4486111111111106,163.75,2.2812499999999996,14.24513888888889,15.694444444444438,59.46527777777778,15.835416666666665,15.5625,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-02-21,3.5090277777777787,187.375,2.3201388888888896,18.088194444444436,16.375000000000004,55.888888888888886,16.502083333333328,16.24513888888889,,,,,,,0.0,0,0,0,1,0,0,0,0
2019-02-22,2.745833333333334,174.44444444444446,1.7173611111111107,21.495833333333348,15.608333333333327,56.69444444444444,15.763194444444435,15.45833333333333,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-02-23,2.770138888888888,168.27083333333334,1.756944444444444,20.72777777777777,15.929861111111109,55.708333333333336,16.104166666666668,15.763194444444439,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-02-24,2.820833333333332,163.22916666666666,1.8354166666666671,14.413888888888888,16.231944444444437,53.6875,16.381944444444443,16.079861111111114,,,,,,,0.0,0,1,0,0,0,0,0,0
2019-02-25,3.1131944444444435,155.34027777777777,2.1249999999999996,14.321527777777781,17.429861111111112,45.451388888888886,17.614583333333332,17.24861111111111,,,,,,,0.0,0,1,0,0,0,0,0,0
