,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,South-East,South-West,North-East,East,North-West,South,North,West
2019-08-01,4.618881118881119,287.32167832167835,2.293006993006993,23.61468531468531,28.2006993006993,71.74825174825175,28.396503496503477,28.028671328671315,,,,3.3643356643356648,2.5160839160839155,1173.5594405594406,0.0,1,0,0,0,0,0,0,0
2019-08-02,4.147222222222224,244.0,2.1347222222222215,20.150694444444433,27.66666666666667,70.17361111111111,27.912500000000005,27.42361111111113,,,,3.159722222222221,2.384027777777777,1166.7430555555557,0.0,0,1,0,0,0,0,0,0
2019-08-03,3.6694444444444443,242.88194444444446,1.8708333333333327,20.925694444444442,27.456944444444442,72.45833333333333,27.70833333333333,27.223611111111115,,,,2.8173611111111097,2.0875,1181.8125,0.0,0,1,0,0,0,0,0,0
2019-08-04,3.7833333333333345,232.00694444444446,2.042361111111111,18.999999999999993,28.152083333333337,72.93055555555556,28.328472222222224,27.995138888888892,,,,2.953472222222222,2.230555555555556,1164.7083333333333,0.0,0,1,0,0,0,0,0,0
2019-08-05,4.107638888888889,227.45138888888889,2.24375,19.979166666666664,28.438888888888894,74.0625,28.577083333333324,28.300000000000015,,,,3.22222222222222,2.459027777777778,1182.0347222222222,0.0,0,1,0,0,0,0,0,0
2019-08-06,4.054166666666667,205.70833333333334,2.2020833333333343,19.71527777777778,27.499305555555555,67.40972222222223,27.665277777777767,27.32291666666667,,,,3.18611111111111,2.4187499999999997,1181.1458333333333,0.0,0,1,0,0,0,0,0,0
2019-08-07,3.8148936170212773,219.5886524822695,1.8737588652482278,23.617021276595747,26.902127659574468,66.82978723404256,27.09716312056739,26.722695035460987,,,,2.9028368794326247,2.102836879432624,1189.3617021276596,0.0,0,1,0,0,0,0,0,0
2019-08-08,4.279861111111114,259.18055555555554,2.1701388888888893,21.592361111111114,27.476388888888895,69.83333333333333,27.665972222222237,27.30277777777777,,,,3.1451388888888903,2.375694444444444,1182.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-08-09,4.874999999999999,238.25,2.661111111111111,17.42916666666666,27.81180555555555,69.9375,27.974305555555553,27.648611111111112,,,,3.754166666666667,2.860416666666668,1164.826388888889,0.0,0,1,0,0,0,0,0,0
2019-08-10,4.575694444444443,245.36111111111111,2.4201388888888893,19.807638888888892,27.5625,70.11111111111111,27.736111111111114,27.39166666666667,,,,3.518749999999998,2.6347222222222237,1182.0208333333333,0.0,0,1,0,0,0,0,0,0
2019-08-11,4.655555555555553,254.38888888888889,2.4611111111111126,19.413194444444443,27.597916666666666,73.21527777777777,27.765277777777772,27.43819444444443,,,,3.4604166666666654,2.653472222222223,1181.0277777777778,0.0,0,1,0,0,0,0,0,0
2019-08-12,4.222222222222221,250.54861111111111,2.230555555555557,20.729166666666664,28.47638888888889,69.36805555555556,28.652083333333323,28.29583333333333,,,,3.2159722222222236,2.4437499999999996,1166.3472222222222,0.0,0,1,0,0,0,0,0,0
2019-08-13,3.7013888888888906,226.97916666666666,1.8006944444444442,27.17916666666668,28.763888888888907,70.875,28.927777777777774,28.593055555555548,,,,2.688888888888888,2.01875,1166.0694444444443,0.0,0,1,0,0,0,0,0,0
2019-08-14,4.09861111111111,251.4375,2.0229166666666654,24.890972222222224,28.68194444444445,65.67361111111111,28.877083333333353,28.488194444444453,,,,3.0708333333333346,2.2333333333333334,1181.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-08-15,3.531617647058823,192.13235294117646,1.8455882352941178,21.38676470588235,27.438235294117636,68.86764705882354,27.612499999999994,27.274264705882356,,,,2.6360294117647056,2.0308823529411764,1167.360294117647,0.0,0,1,0,0,0,0,0,0
2019-08-16,3.838888888888887,218.96527777777777,1.992361111111111,23.611111111111118,28.479861111111102,52.72222222222222,28.68125000000001,28.290277777777774,,,,2.8430555555555563,2.207638888888888,1181.6180555555557,0.0,0,1,0,0,0,0,0,0
2019-08-17,4.300694444444446,250.76388888888889,2.161111111111111,22.281944444444438,27.69791666666667,71.73611111111111,27.918055555555558,27.503472222222218,,,,3.236111111111113,2.373611111111111,1165.2152777777778,0.0,0,1,0,0,0,0,0,0
2019-08-18,4.243971631205671,224.22695035460993,2.2907801418439706,21.815602836879435,27.9468085106383,67.23404255319149,28.162411347517722,27.745390070921978,,,,3.323404255319149,2.5397163120567368,1191.2624113475176,0.0,0,1,0,0,0,0,0,0
2019-08-19,3.759027777777779,215.57638888888889,1.913194444444444,22.77361111111111,27.01041666666667,65.68055555555556,27.238888888888887,26.794444444444455,,,,2.8805555555555546,2.144444444444444,1165.5833333333333,0.0,0,1,0,0,0,0,0,0
2019-08-20,3.5729166666666683,220.95138888888889,1.740972222222222,23.299305555555563,26.582638888888894,69.94444444444444,26.775694444444458,26.375000000000004,,,,2.6791666666666667,1.938888888888889,1166.1875,0.0,0,1,0,0,0,0,0,0
2019-08-21,4.652083333333336,284.5833333333333,2.3805555555555546,23.249999999999986,27.639583333333334,68.31944444444444,27.82361111111112,27.456249999999994,,,,3.400694444444444,2.584722222222223,1182.1597222222222,0.0,1,0,0,0,0,0,0,0
2019-08-22,4.3291666666666675,266.61805555555554,2.216666666666666,22.84652777777779,27.822222222222212,69.96527777777777,27.991666666666667,27.650694444444454,,,,3.156944444444444,2.3979166666666663,1181.8333333333333,0.0,1,0,0,0,0,0,0,0
2019-08-23,5.806944444444444,292.05555555555554,2.8916666666666657,22.903472222222227,28.62152777777777,69.45138888888889,28.792361111111127,28.46111111111111,,,,4.027777777777779,3.0986111111111114,1182.2569444444443,0.0,1,0,0,0,0,0,0,0
2019-08-24,5.071527777777778,312.06944444444446,2.6381944444444447,21.53680555555555,29.240972222222222,70.42361111111111,29.388194444444448,29.10625000000002,,,,3.686111111111109,2.840277777777779,1181.826388888889,0.0,1,0,0,0,0,0,0,0
2019-08-25,3.7902097902097904,235.6993006993007,1.8657342657342657,25.11748251748252,28.673426573426568,72.1048951048951,28.864335664335666,28.495104895104888,,,,2.8139860139860122,2.0531468531468535,1166.93006993007,0.0,0,1,0,0,0,0,0,0
2019-08-26,4.2854166666666655,276.53472222222223,2.088888888888888,26.140277777777783,28.223611111111115,69.97916666666667,28.406944444444427,28.038194444444436,,,,3.1145833333333353,2.2847222222222228,1181.513888888889,0.0,1,0,0,0,0,0,0,0
2019-08-27,4.539583333333335,266.4791666666667,2.1972222222222215,25.281249999999996,27.999999999999996,72.78472222222223,28.18402777777779,27.808333333333348,,,,3.244444444444444,2.395833333333334,1181.3055555555557,0.0,1,0,0,0,0,0,0,0
2019-08-28,3.939583333333333,262.4236111111111,1.9763888888888888,23.956944444444442,28.508333333333344,73.25694444444444,28.694444444444443,28.322222222222223,,,,2.94236111111111,2.2055555555555553,1182.3402777777778,0.0,0,1,0,0,0,0,0,0
2019-08-29,4.156944444444445,248.11111111111111,2.148611111111111,20.76736111111113,28.33055555555554,74.95138888888889,28.50763888888889,28.159722222222214,,,,3.079861111111111,2.3388888888888877,1182.75,0.0,0,1,0,0,0,0,0,0
2019-08-30,4.092361111111111,262.13194444444446,2.0138888888888893,23.397222222222226,28.77152777777779,71.6875,28.959027777777763,28.595833333333335,,,,3.0583333333333353,2.2486111111111122,1180.8055555555557,0.0,0,1,0,0,0,0,0,0
2019-08-31,3.9743055555555578,229.40972222222223,2.0055555555555555,25.51875000000001,28.397222222222226,74.70833333333333,28.611805555555563,28.169444444444455,,,,3.077777777777778,2.238888888888889,1182.1666666666667,0.0,0,1,0,0,0,0,0,0
2019-09-01,1.3,286.0,0.8,12.8,24.5,93.0,24.6,24.5,,,,1.2,0.9,2354.0,0.0,1,0,0,0,0,0,0,0
